"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.296875","0.03125","0.3033175355450237","0.0","HUMAN|HGNC=76|UniProtKB=P00519","Tyrosine-protein kinase ABL1;ABL1;PTN002521521;orthologs","TYROSINE-PROTEIN KINASE ABL1 (PTHR24418:SF438)","non-receptor tyrosine protein kinase(PC00168)","Homo sapiens","2","5","false","ABL1","5.0","0","2","0","0.8791118421052632","false","0","ABL1","280","0.5"
"2.34375","0.1723234943694747","0.4266666666666667","0.3333333333333333","HUMAN|HGNC=2362|UniProtKB=P46108","Adapter molecule crk;CRK;PTN002500792;orthologs","ADAPTER MOLECULE CRK (PTHR19969:SF8)","scaffold/adaptor protein(PC00226)","Homo sapiens","9","4","false","CRK","8.222222222222221","0","9","0","0.9292763157894737","false","0","CRK","2366","0.23174603174603176"
"4.28125","0.0","0.23357664233576642","0.0","HUMAN|HGNC=77|UniProtKB=P42684","Tyrosine-protein kinase ABL2;ABL2;PTN002521523;orthologs","TYROSINE-PROTEIN KINASE ABL2 (PTHR24418:SF87)","non-receptor tyrosine protein kinase(PC00168)","Homo sapiens","1","6","false","ABL2","2.0","0","1","0","0.8273026315789473","false","0","ABL2","0","0.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=391|UniProtKB=P31749","RAC-alpha serine_threonine-protein kinase;AKT1;PTN002519490;orthologs","RAC-ALPHA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF171)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT1","2.0","0","2","0","1.0","false","0","AKT1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=392|UniProtKB=P31751","RAC-beta serine_threonine-protein kinase;AKT2;PTN002519489;orthologs","RAC-BETA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF176)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT2","2.0","0","2","0","1.0","false","0","AKT2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=393|UniProtKB=Q9Y243","RAC-gamma serine_threonine-protein kinase;AKT3;PTN002519488;orthologs","RAC-GAMMA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF190)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT3","2.0","0","2","0","1.0","false","0","AKT3","0","1.0"
"3.453125","0.0034333938938851554","0.2895927601809955","0.7619047619047619","HUMAN|HGNC=646|UniProtKB=P10398","Serine_threonine-protein kinase A-Raf;ARAF;PTN002541147;orthologs","SERINE_THREONINE-PROTEIN KINASE A-RAF (PTHR44329:SF55)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","7","6","false","ARAF","7.714285714285714","0","7","0","0.8708881578947368","false","0","ARAF","178","0.5934065934065934"
"2.90625","0.04044826338472056","0.34408602150537637","0.6071428571428571","HUMAN|HGNC=6407|UniProtKB=P01116","GTPase KRas;KRAS;PTN002514537;orthologs","GTPASE KRAS (PTHR24070:SF388)","small GTPase(PC00208)","Homo sapiens","8","5","false","KRAS","7.75","0","8","0","0.899671052631579","false","0","KRAS","716","0.40789473684210525"
"3.84375","2.232142857142857E-4","0.2601626016260163","0.8666666666666667","HUMAN|HGNC=6842|UniProtKB=P36507","Dual specificity mitogen-activated protein kinase kinase 2;MAP2K2;PTN002519703;orthologs","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 (PTHR48013:SF8)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","6","6","false","MAP2K2","7.5","0","6","0","0.850328947368421","false","0","MAP2K2","4","0.75"
"3.59375","9.460967632551483E-4","0.2782608695652174","0.8095238095238095","HUMAN|HGNC=6840|UniProtKB=Q02750","Dual specificity mitogen-activated protein kinase kinase 1;MAP2K1;PTN002519704;orthologs","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 (PTHR48013:SF5)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","7","6","false","MAP2K1","7.428571428571429","0","7","0","0.8634868421052632","false","0","MAP2K1","42","0.6753246753246753"
