#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	MAPK1	9606.ENSP00000361423	9606.ENSP00000215832	0	0	0	0.588	0.064	0.110	0	0.695	0.724
ABL1	SOS2	9606.ENSP00000361423	9606.ENSP00000216373	0	0	0	0	0.049	0.178	0	0.559	0.625
ABL1	NFKB1	9606.ENSP00000361423	9606.ENSP00000226574	0	0	0	0	0.085	0.095	0	0.434	0.490
ABL1	FLT3	9606.ENSP00000361423	9606.ENSP00000241453	0	0	0	0.600	0.095	0.215	0	0.346	0.495
ABL1	PLCG1	9606.ENSP00000361423	9606.ENSP00000244007	0	0	0	0.548	0.091	0.361	0	0.176	0.479
ABL1	RAC2	9606.ENSP00000361423	9606.ENSP00000249071	0	0	0	0	0.086	0.110	0.900	0.353	0.940
ABL1	KRAS	9606.ENSP00000361423	9606.ENSP00000256078	0	0	0	0	0.074	0.110	0	0.669	0.703
ABL1	PDGFRB	9606.ENSP00000361423	9606.ENSP00000261799	0	0	0	0.581	0.093	0.316	0	0.376	0.580
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	SHC2	9606.ENSP00000361423	9606.ENSP00000264554	0	0	0	0.554	0.042	0.073	0.900	0.086	0.908
ABL1	EGF	9606.ENSP00000361423	9606.ENSP00000265171	0	0	0	0	0	0.053	0	0.511	0.517
ABL1	RASA1	9606.ENSP00000361423	9606.ENSP00000274376	0	0	0	0.548	0.049	0.299	0	0.275	0.474
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.790	0	0.347	0.861
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.634	0	0	0.900	0.145	0.910
ABL1	FLT1	9606.ENSP00000361423	9606.ENSP00000282397	0	0	0	0.577	0.105	0.074	0	0.400	0.459
ABL1	CSF1R	9606.ENSP00000361423	9606.ENSP00000286301	0	0	0	0.604	0.055	0.074	0	0.504	0.528
ABL1	KIT	9606.ENSP00000361423	9606.ENSP00000288135	0	0	0	0.598	0.056	0.181	0	0.601	0.664
ABL1	FGFR4	9606.ENSP00000361423	9606.ENSP00000292408	0	0	0	0.654	0.055	0.074	0	0.378	0.408
ABL1	RAC3	9606.ENSP00000361423	9606.ENSP00000304283	0	0	0	0	0.116	0.110	0.900	0.093	0.919
ABL1	RIN1	9606.ENSP00000361423	9606.ENSP00000310406	0	0	0	0	0	0.808	0.900	0.865	0.997
ABL1	PAK2	9606.ENSP00000361423	9606.ENSP00000314067	0	0	0	0.586	0.049	0.314	0	0.163	0.406
ABL1	EFNA5	9606.ENSP00000361423	9606.ENSP00000328777	0	0	0	0	0	0.193	0	0.513	0.590
ABL1	SHC4	9606.ENSP00000361423	9606.ENSP00000329668	0	0	0	0.553	0	0.073	0.900	0.059	0.905
