#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATG12	ATG5	9606.ENSP00000425107	9606.ENSP00000358072	0	0	0	0	0	0.997	0.900	0	0.999
ATG12	DDX58	9606.ENSP00000425107	9606.ENSP00000369213	0	0	0	0	0	0.292	0.900	0	0.926
ATG12	MAVS	9606.ENSP00000425107	9606.ENSP00000401980	0	0	0	0	0	0.519	0.900	0	0.949
ATG5	DDX58	9606.ENSP00000358072	9606.ENSP00000369213	0	0	0	0	0	0.292	0.900	0	0.926
ATG5	MAVS	9606.ENSP00000358072	9606.ENSP00000401980	0	0	0	0	0	0.513	0.900	0	0.949
AZI2	TANK	9606.ENSP00000419371	9606.ENSP00000259075	0	0	0	0	0	0	0.800	0	0.800
AZI2	TBK1	9606.ENSP00000419371	9606.ENSP00000329967	0	0	0	0	0	0.999	0	0	0.999
AZI2	TBKBP1	9606.ENSP00000419371	9606.ENSP00000354777	0	0	0	0.591	0	0.292	0.800	0	0.852
AZI2	TNF	9606.ENSP00000419371	9606.ENSP00000398698	0	0	0	0	0	0.994	0	0	0.994
AZI2	IKBKG	9606.ENSP00000419371	9606.ENSP00000483825	0	0	0	0	0	0	0.900	0	0.900
CASP10	RIPK1	9606.ENSP00000286186	9606.ENSP00000259808	0	0	0	0	0	0.526	0.900	0	0.950
CASP10	TRADD	9606.ENSP00000286186	9606.ENSP00000341268	0	0	0	0	0	0.053	0.900	0	0.901
CASP10	CASP8	9606.ENSP00000286186	9606.ENSP00000351273	0	0	0	0.832	0	0.880	0.900	0	0.987
CASP10	FADD	9606.ENSP00000286186	9606.ENSP00000301838	0	0	0	0	0	0.843	0.900	0	0.983
CASP8	TRAF2	9606.ENSP00000351273	9606.ENSP00000247668	0	0	0	0	0	0.835	0.500	0	0.913
CASP8	RIPK1	9606.ENSP00000351273	9606.ENSP00000259808	0	0	0	0	0	0.994	0.900	0	0.999
CASP8	FADD	9606.ENSP00000351273	9606.ENSP00000301838	0	0	0	0	0	0.994	0.900	0	0.999
CASP8	TRADD	9606.ENSP00000351273	9606.ENSP00000341268	0	0	0	0	0	0.821	0.900	0	0.981
CASP8	IKBKG	9606.ENSP00000351273	9606.ENSP00000483825	0	0	0	0	0	0	0.700	0	0.700
CASP8	CYLD	9606.ENSP00000351273	9606.ENSP00000392025	0	0	0	0	0	0.304	0.900	0	0.927
CASP8	TRAF6	9606.ENSP00000351273	9606.ENSP00000433623	0	0	0	0	0	0.760	0	0	0.760
CASP8	TNF	9606.ENSP00000351273	9606.ENSP00000398698	0	0	0	0	0	0.994	0	0	0.994
CHUK	NFKBIA	9606.ENSP00000359424	9606.ENSP00000216797	0	0	0	0	0	0.994	0.900	0	0.999
CHUK	NFKB1	9606.ENSP00000359424	9606.ENSP00000226574	0	0	0	0	0	0.854	0.900	0	0.984
CHUK	TRAF2	9606.ENSP00000359424	9606.ENSP00000247668	0	0	0	0	0	0.843	0.900	0	0.983
CHUK	RIPK1	9606.ENSP00000359424	9606.ENSP00000259808	0	0	0	0.559	0	0.510	0.900	0	0.948
CHUK	NFKBIB	9606.ENSP00000359424	9606.ENSP00000312988	0	0	0	0	0	0.794	0.900	0	0.978
CHUK	TRADD	9606.ENSP00000359424	9606.ENSP00000341268	0	0	0	0	0	0.289	0.900	0	0.925
CHUK	MAP3K7	9606.ENSP00000359424	9606.ENSP00000358335	0	0	0	0.583	0	0.840	0.900	0	0.983
CHUK	MAP3K1	9606.ENSP00000359424	9606.ENSP00000382423	0	0	0	0.563	0	0.636	0.900	0	0.962
CHUK	IRF7	9606.ENSP00000359424	9606.ENSP00000380697	0	0	0	0	0	0.331	0.900	0	0.930
CHUK	MAVS	9606.ENSP00000359424	9606.ENSP00000401980	0	0	0	0	0	0.314	0.900	0	0.928
CHUK	RELA	9606.ENSP00000359424	9606.ENSP00000384273	0	0	0	0	0	0.880	0.900	0	0.987
CHUK	TNF	9606.ENSP00000359424	9606.ENSP00000398698	0	0	0	0	0	0.994	0.500	0	0.996
CHUK	IKBKB	9606.ENSP00000359424	9606.ENSP00000430684	0	0	0	0.941	0	0.994	0.900	0	0.999
CHUK	TRAF6	9606.ENSP00000359424	9606.ENSP00000433623	0	0	0	0	0	0.328	0.900	0	0.929
CHUK	IKBKG	9606.ENSP00000359424	9606.ENSP00000483825	0	0	0	0	0	0.994	0.900	0	0.999
CXCL8	NFKB1	9606.ENSP00000306512	9606.ENSP00000226574	0	0	0	0	0	0	0.900	0	0.900
CXCL8	RELA	9606.ENSP00000306512	9606.ENSP00000384273	0	0	0	0	0	0.785	0.900	0	0.977
CYLD	TRAF2	9606.ENSP00000392025	9606.ENSP00000247668	0	0	0	0	0	0.645	0.900	0	0.962
CYLD	RIPK1	9606.ENSP00000392025	9606.ENSP00000259808	0	0	0	0	0	0.791	0.900	0	0.978
CYLD	TBK1	9606.ENSP00000392025	9606.ENSP00000329967	0	0	0	0	0	0.629	0.500	0	0.806
CYLD	MAP3K7	9606.ENSP00000392025	9606.ENSP00000358335	0	0	0	0	0	0.645	0.400	0	0.778
CYLD	DDX58	9606.ENSP00000392025	9606.ENSP00000369213	0	0	0	0	0	0.292	0.900	0	0.926
CYLD	TNF	9606.ENSP00000392025	9606.ENSP00000398698	0	0	0	0	0	0.854	0.500	0	0.923
CYLD	IKBKE	9606.ENSP00000392025	9606.ENSP00000464030	0	0	0	0	0	0.629	0.900	0	0.961
CYLD	TRAF6	9606.ENSP00000392025	9606.ENSP00000433623	0	0	0	0	0	0.755	0.900	0	0.974
CYLD	IKBKG	9606.ENSP00000392025	9606.ENSP00000483825	0	0	0	0	0	0.852	0.500	0	0.923
DDX3X	TBK1	9606.ENSP00000494040	9606.ENSP00000329967	0	0	0	0	0	0.306	0.900	0	0.927
DDX58	RNF125	9606.ENSP00000369213	9606.ENSP00000217740	0	0	0	0	0	0.510	0.900	0	0.948
DDX58	TRAF2	9606.ENSP00000369213	9606.ENSP00000247668	0	0	0	0	0	0	0.900	0	0.900
DDX58	DHX58	9606.ENSP00000369213	9606.ENSP00000251642	0	0	0	0.780	0	0.510	0.900	0	0.948
DDX58	TRIM25	9606.ENSP00000369213	9606.ENSP00000323889	0	0	0	0	0	0.969	0.900	0	0.996
DDX58	TRAF6	9606.ENSP00000369213	9606.ENSP00000433623	0	0	0	0	0	0	0.900	0	0.900
DDX58	IRF3	9606.ENSP00000369213	9606.ENSP00000471896	0	0	0	0	0	0.537	0.500	0	0.758
DDX58	MAVS	9606.ENSP00000369213	9606.ENSP00000401980	0	0	0	0	0	0.999	0.900	0	0.999
DDX58	ISG15	9606.ENSP00000369213	9606.ENSP00000496832	0	0	0	0	0	0.292	0.900	0	0.926
DHX58	IFIH1	9606.ENSP00000251642	9606.ENSP00000497271	0	0	0	0.901	0	0.510	0.900	0	0.948
DUSP16	MAPK13	9606.ENSP00000298573	9606.ENSP00000211287	0	0	0	0	0	0.300	0.650	0	0.744
DUSP16	MAPK12	9606.ENSP00000298573	9606.ENSP00000215659	0	0	0	0	0	0.300	0.650	0	0.744
DUSP16	MAPK14	9606.ENSP00000298573	9606.ENSP00000229795	0	0	0	0	0	0.798	0.650	0	0.926
DUSP16	MAPK11	9606.ENSP00000298573	9606.ENSP00000333685	0	0	0	0	0	0.300	0.650	0	0.744
DUSP16	MAPK9	9606.ENSP00000298573	9606.ENSP00000394560	0	0	0	0	0	0.682	0.900	0	0.966
DUSP16	MAPK8	9606.ENSP00000298573	9606.ENSP00000378974	0	0	0	0	0	0.966	0.900	0	0.996
FADD	TRAF2	9606.ENSP00000301838	9606.ENSP00000247668	0	0	0	0	0	0.453	0.900	0	0.943
FADD	RIPK1	9606.ENSP00000301838	9606.ENSP00000259808	0	0	0	0	0	0.942	0.900	0	0.993
FADD	IKBKG	9606.ENSP00000301838	9606.ENSP00000483825	0	0	0	0	0	0.481	0.500	0	0.729
FADD	TRADD	9606.ENSP00000301838	9606.ENSP00000341268	0	0	0	0	0	0.873	0.900	0	0.986
IFIH1	RNF125	9606.ENSP00000497271	9606.ENSP00000217740	0	0	0	0	0	0.292	0.900	0	0.926
IFIH1	TKFC	9606.ENSP00000497271	9606.ENSP00000378360	0	0	0	0	0	0.292	0.900	0	0.926
IFIH1	MAVS	9606.ENSP00000497271	9606.ENSP00000401980	0	0	0	0	0	0.986	0.900	0	0.998
IFNA1	IFNA17	9606.ENSP00000276927	9606.ENSP00000411940	0	0	0	0.977	0	0.623	0.400	0	0.764
