"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0833333333333333","0.41969696969696973","0.9230769230769231","0.4727272727272727","HUMAN|HGNC=143|UniProtKB=P68032","Actin, alpha cardiac muscle 1;ACTC1;PTN002485041;orthologs","ACTIN, ALPHA CARDIAC MUSCLE 1 (PTHR11937:SF176)","actin and actin related protein(PC00039)","Homo sapiens","11","2","false","ACTC1","6.090909090909091","0","11","0","0.9924242424242423","false","0","ACTC1","90","0.5075757575757576"
"1.6666666666666667","0.0","0.6","1.0","HUMAN|HGNC=7583|UniProtKB=P10916","Myosin regulatory light chain 2, ventricular_cardiac muscle isoform;MYL2;PTN002507236;orthologs","MYOSIN REGULATORY LIGHT CHAIN 2, VENTRICULAR_CARDIAC MUSCLE ISOFORM (PTHR23049:SF9)","actin or actin-binding cytoskeletal protein(PC00041)","Homo sapiens","5","3","false","MYL2","6.4","0","5","0","0.9393939393939394","false","0","MYL2","0","0.5818181818181818"
"1.6666666666666667","0.0","0.6","1.0","HUMAN|HGNC=7585|UniProtKB=P12829","Myosin light chain 4;MYL4;PTN002507229;orthologs","MYOSIN LIGHT CHAIN 4 (PTHR23048:SF1)","actin or actin-binding cytoskeletal protein(PC00041)","Homo sapiens","5","3","false","MYL4","6.4","0","5","0","0.9393939393939394","false","0","MYL4","0","0.5818181818181818"
"1.6666666666666667","0.0","0.6","1.0","HUMAN|HGNC=7584|UniProtKB=P08590","Myosin light chain 3;MYL3;PTN002507228;orthologs","MYOSIN LIGHT CHAIN 3 (PTHR23048:SF2)","actin or actin-binding cytoskeletal protein(PC00041)","Homo sapiens","5","3","false","MYL3","6.4","0","5","0","0.9393939393939394","false","0","MYL3","0","0.5818181818181818"
"1.4166666666666667","0.023484848484848483","0.7058823529411764","0.8571428571428571","HUMAN|HGNC=11949|UniProtKB=P45379","Troponin T, cardiac muscle;TNNT2;PTN002479676;orthologs","TROPONIN T, CARDIAC MUSCLE (PTHR11521:SF5)","actin binding motor protein(PC00040)","Homo sapiens","7","2","false","TNNT2","7.0","0","7","0","0.9621212121212122","false","0","TNNT2","14","0.5833333333333334"
"1.5","0.0","0.6666666666666666","1.0","HUMAN|HGNC=12011|UniProtKB=P07951","Tropomyosin beta chain;TPM2;PTN002499326;orthologs","TROPOMYOSIN BETA CHAIN (PTHR19269:SF46)","actin binding motor protein(PC00040)","Homo sapiens","6","2","false","TPM2","7.666666666666667","0","6","0","0.9545454545454546","false","0","TPM2","0","0.6388888888888888"
"1.5","0.0","0.6666666666666666","1.0","HUMAN|HGNC=12013|UniProtKB=P67936","Tropomyosin alpha-4 chain;TPM4;PTN002499328;orthologs","TROPOMYOSIN ALPHA-4 CHAIN (PTHR19269:SF70)","actin binding motor protein(PC00040)","Homo sapiens","6","2","false","TPM4","7.666666666666667","0","6","0","0.9545454545454546","false","0","TPM4","0","0.6388888888888888"
"1.6666666666666667","0.0","0.6","1.0","HUMAN|HGNC=7576|UniProtKB=P13533","Myosin-6;MYH6;PTN002490827;orthologs","MYOSIN-6 (PTHR45615:SF69)","actin or actin-binding cytoskeletal protein(PC00041)","Homo sapiens","5","3","false","MYH6","6.4","0","5","0","0.9393939393939394","false","0","MYH6","0","0.5818181818181818"
"1.4166666666666667","0.023484848484848483","0.7058823529411764","0.8571428571428571",,,,,,"7","2","false","TNNI3","7.0","0","7","0","0.9621212121212122","false","0","TNNI3","14","0.5833333333333334"
"1.4166666666666667","0.023484848484848483","0.7058823529411764","0.8571428571428571","HUMAN|HGNC=12012|UniProtKB=P06753","Tropomyosin alpha-3 chain;TPM3;PTN002499329;orthologs","TROPOMYOSIN ALPHA-3 CHAIN (PTHR19269:SF38)","actin binding motor protein(PC00040)","Homo sapiens","7","2","false","TPM3","7.0","0","7","0","0.9621212121212122","false","0","TPM3","14","0.5833333333333334"
"1.5","0.04242424242424242","0.6666666666666666","0.7333333333333333","HUMAN|HGNC=7577|UniProtKB=P12883","Myosin-7;MYH7;PTN002490854;orthologs","MYOSIN-7 (PTHR45615:SF1)","actin or actin-binding cytoskeletal protein(PC00041)","Homo sapiens","6","2","false","MYH7","6.5","0","6","0","0.9545454545454546","false","0","MYH7","16","0.5416666666666666"
"1.3333333333333333","0.08863636363636364","0.75","0.6785714285714286","HUMAN|HGNC=12010|UniProtKB=P09493","Tropomyosin alpha-1 chain;TPM1;PTN002499316;orthologs","TROPOMYOSIN ALPHA-1 CHAIN (PTHR19269:SF41)","actin binding motor protein(PC00040)","Homo sapiens","8","2","false","TPM1","6.75","0","8","0","0.9696969696969696","false","0","TPM1","34","0.5625"
"3.3529411764705883","0.0","0.2982456140350877","1.0","HUMAN|HGNC=757|UniProtKB=Q12797","Aspartyl_asparaginyl beta-hydroxylase;ASPH;PTN002487747;orthologs","ASPARTYL_ASPARAGINYL BETA-HYDROXYLASE (PTHR12366:SF33)","protein modifying enzyme(PC00260)","Homo sapiens","3","5","false","ASPH","3.3333333333333335","0","3","0","0.7647058823529411","false","0","ASPH","0","0.8333333333333334"
"3.3529411764705883","0.0","0.2982456140350877","1.0","HUMAN|HGNC=1513|UniProtKB=O14958","Calsequestrin-2;CASQ2;PTN002467414;orthologs","CALSEQUESTRIN-2 (PTHR10033:SF15)","calcium-binding protein(PC00060)","Homo sapiens","3","5","false","CASQ2","3.3333333333333335","0","3","0","0.7647058823529411","false","0","CASQ2","0","0.8333333333333334"
"2.5294117647058822","0.3088235294117647","0.39534883720930236","0.5","HUMAN|HGNC=12261|UniProtKB=Q13061","Triadin;TRDN;PTN002493811;orthologs","TRIADIN (PTHR14106:SF0)",,"Homo sapiens","4","4","false","TRDN","3.25","0","4","0","0.8470588235294118","false","0","TRDN","174","0.5"
"3.3529411764705883","0.0","0.2982456140350877","1.0","HUMAN|HGNC=10484|UniProtKB=Q92736","Ryanodine receptor 2;RYR2;PTN002492397;orthologs","RYANODINE RECEPTOR 2 (PTHR46399:SF7)",,"Homo sapiens","3","5","false","RYR2","3.3333333333333335","0","3","0","0.7647058823529411","false","0","RYR2","0","0.8333333333333334"
"1.8235294117647058","0.03308823529411765","0.5483870967741935","0.8666666666666667","HUMAN|HGNC=799|UniProtKB=P05023","Sodium_potassium-transporting ATPase subunit alpha-1;ATP1A1;PTN002535060;orthologs","SODIUM_POTASSIUM-TRANSPORTING ATPASE SUBUNIT ALPHA-1 (PTHR43294:SF9)","primary active transporter(PC00068)","Homo sapiens","10","4","false","ATP1A1","9.1","0","10","0","0.9176470588235294","false","0","ATP1A1","54","0.7"
"2.3529411764705883","0.0","0.425","1.0","HUMAN|HGNC=808|UniProtKB=Q9UN42","Protein ATP1B4;ATP1B4;PTN002479684;orthologs","PROTEIN ATP1B4 (PTHR11523:SF12)","primary active transporter(PC00068)","Homo sapiens","8","5","false","ATP1B4","9.5","0","8","0","0.8647058823529411","false","0","ATP1B4","0","0.95"
"1.8235294117647058","0.03308823529411765","0.5483870967741935","0.8666666666666667","HUMAN|HGNC=805|UniProtKB=P14415","Sodium_potassium-transporting ATPase subunit beta-2;ATP1B2;PTN002479685;orthologs","SODIUM_POTASSIUM-TRANSPORTING ATPASE SUBUNIT BETA-2 (PTHR11523:SF26)","primary active transporter(PC00068)","Homo sapiens","10","4","false","ATP1B2","9.1","0","10","0","0.9176470588235294","false","0","ATP1B2","54","0.7"
"2.0","0.0","0.5","1.0","HUMAN|HGNC=11071|UniProtKB=P19634","Sodium_hydrogen exchanger 1;SLC9A1;PTN002468093;orthologs","SODIUM_HYDROGEN EXCHANGER 1 (PTHR10110:SF59)","secondary carrier transporter(PC00258)","Homo sapiens","7","4","false","SLC9A1","10.0","0","7","0","0.9","false","0","SLC9A1","0","0.7692307692307693"
"1.8235294117647058","0.03308823529411765","0.5483870967741935","0.8666666666666667","HUMAN|HGNC=806|UniProtKB=P54709","Sodium_potassium-transporting ATPase subunit beta-3;ATP1B3;PTN002479686;orthologs","SODIUM_POTASSIUM-TRANSPORTING ATPASE SUBUNIT BETA-3 (PTHR11523:SF47)","primary active transporter(PC00068)","Homo sapiens","10","4","false","ATP1B3","9.1","0","10","0","0.9176470588235294","false","0","ATP1B3","54","0.7"
"2.3529411764705883","0.0","0.425","1.0","HUMAN|HGNC=4026|UniProtKB=P54710","Sodium_potassium-transporting ATPase subunit gamma;FXYD2;PTN002493856;orthologs","SODIUM_POTASSIUM-TRANSPORTING ATPASE SUBUNIT GAMMA (PTHR14132:SF3)","primary active transporter(PC00068)","Homo sapiens","8","5","false","FXYD2","9.5","0","8","0","0.8647058823529411","false","0","FXYD2","0","0.95"
"1.8235294117647058","0.03308823529411765","0.5483870967741935","0.8666666666666667","HUMAN|HGNC=800|UniProtKB=P50993","Sodium_potassium-transporting ATPase subunit alpha-2;ATP1A2;PTN002535074;orthologs","SODIUM_POTASSIUM-TRANSPORTING ATPASE SUBUNIT ALPHA-2 (PTHR43294:SF6)","primary active transporter(PC00068)","Homo sapiens","10","4","false","ATP1A2","9.1","0","10","0","0.9176470588235294","false","0","ATP1A2","54","0.7"
"1.8235294117647058","0.03308823529411765","0.5483870967741935","0.8666666666666667","HUMAN|HGNC=804|UniProtKB=P05026","Sodium_potassium-transporting ATPase subunit beta-1;ATP1B1;PTN002479681;orthologs","SODIUM_POTASSIUM-TRANSPORTING ATPASE SUBUNIT BETA-1 (PTHR11523:SF10)","primary active transporter(PC00068)","Homo sapiens","10","4","false","ATP1B1","9.1","0","10","0","0.9176470588235294","false","0","ATP1B1","54","0.7"
"2.3529411764705883","0.0","0.425","1.0","HUMAN|HGNC=14073|UniProtKB=Q13733","Sodium_potassium-transporting ATPase subunit alpha-4;ATP1A4;PTN002535073;orthologs","SODIUM_POTASSIUM-TRANSPORTING ATPASE SUBUNIT ALPHA-4 (PTHR43294:SF3)","primary active transporter(PC00068)","Homo sapiens","8","5","false","ATP1A4","9.5","0","8","0","0.8647058823529411","false","0","ATP1A4","0","0.95"
