"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.8333333333333333","0.0","0.5454545454545455","1.0","HUMAN|HGNC=232|UniProtKB=Q08828","Adenylate cyclase type 1;ADCY1;PTN002484502;orthologs","ADENYLATE CYCLASE TYPE 1 (PTHR45627:SF26)","adenylate cyclase(PC00043)","Homo sapiens","2","3","false","ADCY1","4.0","0","2","0","0.8333333333333334","false","0","ADCY1","0","0.8"
"1.3333333333333333","0.16666666666666666","0.75","0.5","HUMAN|HGNC=239|UniProtKB=P40145","Adenylate cyclase type 8;ADCY8;PTN002484507;orthologs","ADENYLATE CYCLASE TYPE 8 (PTHR45627:SF1)","adenylate cyclase(PC00043)","Homo sapiens","4","2","false","ADCY8","3.25","0","4","0","0.9333333333333333","false","0","ADCY8","8","0.5416666666666666"
"1.3333333333333333","0.16666666666666666","0.75","0.5","HUMAN|HGNC=234|UniProtKB=O60266","Adenylate cyclase type 3;ADCY3;PTN002484496;orthologs","ADENYLATE CYCLASE TYPE 3 (PTHR45627:SF30)","adenylate cyclase(PC00043)","Homo sapiens","4","2","false","ADCY3","3.25","0","4","0","0.9333333333333333","false","0","ADCY3","8","0.5416666666666666"
"1.6666666666666667","0.0","0.6","1.0","HUMAN|HGNC=240|UniProtKB=O60503","Adenylate cyclase type 9;ADCY9;PTN002484518;orthologs","ADENYLATE CYCLASE TYPE 9 (PTHR45627:SF8)","adenylate cyclase(PC00043)","Homo sapiens","2","2","false","ADCY9","4.5","0","2","0","0.8666666666666666","false","0","ADCY9","0","0.75"
"1.1666666666666667","0.4666666666666667","0.8571428571428571","0.3","HUMAN|HGNC=237|UniProtKB=O43306","Adenylate cyclase type 6;ADCY6;PTN002484510;orthologs","ADENYLATE CYCLASE TYPE 6 (PTHR45627:SF11)","adenylate cyclase(PC00043)","Homo sapiens","5","2","false","ADCY6","2.6","0","5","0","0.9666666666666666","false","0","ADCY6","18","0.48"
"1.6666666666666667","0.0","0.6","1.0","HUMAN|HGNC=235|UniProtKB=Q8NFM4","Adenylate cyclase type 4;ADCY4;PTN002484529;orthologs","ADENYLATE CYCLASE TYPE 4 (PTHR45627:SF10)","adenylate cyclase(PC00043)","Homo sapiens","2","2","false","ADCY4","4.5","0","2","0","0.8666666666666666","false","0","ADCY4","0","0.75"
"2.0","0.0","0.5","0.0","HUMAN|HGNC=236|UniProtKB=O95622","Adenylate cyclase type 5;ADCY5;PTN002484515;orthologs","ADENYLATE CYCLASE TYPE 5 (PTHR45627:SF7)","adenylate cyclase(PC00043)","Homo sapiens","1","3","false","ADCY5","5.0","0","1","0","0.8","false","0","ADCY5","0","0.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=391|UniProtKB=P31749","RAC-alpha serine_threonine-protein kinase;AKT1;PTN002519490;orthologs","RAC-ALPHA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF171)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT1","2.0","0","2","0","1.0","false","0","AKT1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=392|UniProtKB=P31751","RAC-beta serine_threonine-protein kinase;AKT2;PTN002519489;orthologs","RAC-BETA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF176)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT2","2.0","0","2","0","1.0","false","0","AKT2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=393|UniProtKB=Q9Y243","RAC-gamma serine_threonine-protein kinase;AKT3;PTN002519488;orthologs","RAC-GAMMA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF190)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT3","2.0","0","2","0","1.0","false","0","AKT3","0","1.0"
