"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.6666666666666666","1.0","0.3333333333333333","HUMAN|HGNC=391|UniProtKB=P31749","RAC-alpha serine_threonine-protein kinase;AKT1;PTN002519490;orthologs","RAC-ALPHA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF171)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","1","false","AKT1","1.6666666666666667","0","3","0","1.0","false","0","AKT1","4","0.6666666666666666"
"1.6666666666666667","0.0","0.6","0.0","HUMAN|HGNC=22048|UniProtKB=P60323","Nanos homolog 3;NANOS3;PTN002490035;orthologs","NANOS HOMOLOG 3 (PTHR12887:SF12)","RNA metabolism protein(PC00031)","Homo sapiens","1","2","false","NOS3","3.0","0","1","0","0.7777777777777777","false","0","NOS3","0","0.0"
"1.3333333333333333","0.0","0.75","1.0","HUMAN|HGNC=392|UniProtKB=P31751","RAC-beta serine_threonine-protein kinase;AKT2;PTN002519489;orthologs","RAC-BETA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF176)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","2","false","AKT2","2.5","0","2","0","0.888888888888889","false","0","AKT2","0","0.8333333333333334"
"1.3333333333333333","0.0","0.75","1.0","HUMAN|HGNC=393|UniProtKB=Q9Y243","RAC-gamma serine_threonine-protein kinase;AKT3;PTN002519488;orthologs","RAC-GAMMA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF190)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","2","false","AKT3","2.5","0","2","0","0.888888888888889","false","0","AKT3","0","0.8333333333333334"
"3.44","0.0","0.29069767441860467","1.0","HUMAN|HGNC=1736|UniProtKB=P60953","Cell division control protein 42 homolog;CDC42;PTN002514683;orthologs","CELL DIVISION CONTROL PROTEIN 42 HOMOLOG (PTHR24072:SF136)","small GTPase(PC00208)","Homo sapiens","3","5","false","CDC42","3.3333333333333335","0","3","0","0.756","false","0","CDC42","0","0.8333333333333334"
"2.56","0.22","0.390625","0.5","HUMAN|HGNC=9802|UniProtKB=P15153","Ras-related C3 botulinum toxin substrate 2;RAC2;PTN002514693;orthologs","RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 2 (PTHR24072:SF169)","small GTPase(PC00208)","Homo sapiens","4","4","false","RAC2","4.75","0","4","0","0.844","false","0","RAC2","240","0.375"
"3.44","0.0","0.29069767441860467","1.0","HUMAN|HGNC=9803|UniProtKB=P60763","Ras-related C3 botulinum toxin substrate 3;RAC3;PTN002514694;orthologs","RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 3 (PTHR24072:SF325)","small GTPase(PC00208)","Homo sapiens","3","5","false","RAC3","3.3333333333333335","0","3","0","0.756","false","0","RAC3","0","0.8333333333333334"
"3.44","0.0","0.29069767441860467","1.0","HUMAN|HGNC=9801|UniProtKB=P63000","Ras-related C3 botulinum toxin substrate 1;RAC1;PTN002514697;orthologs","RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1 (PTHR24072:SF395)","small GTPase(PC00208)","Homo sapiens","3","5","false","RAC1","3.3333333333333335","0","3","0","0.756","false","0","RAC1","0","0.8333333333333334"
"2.12","0.1446111111111111","0.4716981132075471","0.4","HUMAN|HGNC=5173|UniProtKB=P01112","GTPase HRas;HRAS;PTN002514531;orthologs","GTPASE HRAS (PTHR24070:SF385)","small GTPase(PC00208)","Homo sapiens","6","4","false","HRAS","7.166666666666667","0","6","0","0.8879999999999999","false","0","HRAS","310","0.37719298245614036"
"2.76","0.019333333333333338","0.3623188405797102","0.6","HUMAN|HGNC=6407|UniProtKB=P01116","GTPase KRas;KRAS;PTN002514537;orthologs","GTPASE KRAS (PTHR24070:SF388)","small GTPase(PC00208)","Homo sapiens","5","5","false","KRAS","5.4","0","5","0","0.8240000000000001","false","0","KRAS","56","0.54"
"1.96","0.07044444444444446","0.5102040816326531","0.6666666666666666","HUMAN|HGNC=8975|UniProtKB=P42336","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform;PIK3CA;PTN002467587;orthologs","PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT ALPHA ISOFORM (PTHR10048:SF107)","kinase(PC00137)","Homo sapiens","9","3","false","PIK3CA","7.666666666666667","0","9","0","0.9039999999999999","false","0","PIK3CA","168","0.45098039215686275"
"2.84","0.0","0.35211267605633806","1.0","HUMAN|HGNC=7989|UniProtKB=P01111","GTPase NRas;NRAS;PTN002514539;orthologs","GTPASE NRAS (PTHR24070:SF189)","small GTPase(PC00208)","Homo sapiens","3","5","false","NRAS","6.333333333333333","0","3","0","0.8160000000000001","false","0","NRAS","0","0.6333333333333333"
