"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.7905982905982907","0.0017824843110949514","0.558472553699284","0.5633484162895928","HUMAN|HGNC=76|UniProtKB=P00519","Tyrosine-protein kinase ABL1;ABL1;PTN002521521;orthologs","TYROSINE-PROTEIN KINASE ABL1 (PTHR24418:SF438)","non-receptor tyrosine protein kinase(PC00168)","Homo sapiens","52","3","false","ABL1","81.90384615384616","0","52","0","0.9952084952084952","false","0","ABL1","2362","0.3545621045621046"
"1.4487179487179487","0.053793285173852956","0.6902654867256638","0.33030523255813954","HUMAN|HGNC=6871|UniProtKB=P28482","Mitogen-activated protein kinase 1;MAPK1;PTN002514000;orthologs","MITOGEN-ACTIVATED PROTEIN KINASE 1 (PTHR24055:SF584)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","129","2","false","MAPK1","62.36434108527132","0","129","0","0.9972804972804973","false","0","MAPK1","57874","0.26651427814218515"
"1.7820512820512822","0.002696893053333452","0.5611510791366906","0.5246734397677794","HUMAN|HGNC=11188|UniProtKB=Q07890","Son of sevenless homolog 2;SOS2;PTN002508290;orthologs","SON OF SEVENLESS HOMOLOG 2 (PTHR23113:SF150)","guanyl-nucleotide exchange factor(PC00113)","Homo sapiens","53","3","false","SOS2","77.86792452830188","0","53","0","0.9952602952602954","false","0","SOS2","4380","0.33563760572543916"
"1.6752136752136753","0.004522805545376092","0.596938775510204","0.5437895437895438","HUMAN|HGNC=7794|UniProtKB=P19838","Nuclear factor NF-kappa-B p105 subunit;NFKB1;PTN002516581;orthologs","NUCLEAR FACTOR NF-KAPPA-B P105 SUBUNIT (PTHR24169:SF9)","Rel homology transcription factor(PC00252)","Homo sapiens","78","3","false","NFKB1","78.66666666666667","0","78","0","0.9959077959077959","false","0","NFKB1","5192","0.3390804597701149"
"1.7264957264957266","0.0029466219695612494","0.5792079207920792","0.5621551444336255","HUMAN|HGNC=3765|UniProtKB=P36888","Receptor-type tyrosine-protein kinase FLT3;FLT3;PTN002521312;orthologs","RECEPTOR-TYPE TYROSINE-PROTEIN KINASE FLT3 (PTHR24416:SF356)","transmembrane signal receptor(PC00197)","Homo sapiens","79","3","false","FLT3","74.9746835443038","0","79","0","0.9955969955969955","false","0","FLT3","6720","0.34235015317033696"
"1.5341880341880343","0.016229040814300606","0.6518105849582172","0.4352170352170352","HUMAN|HGNC=9065|UniProtKB=P19174","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1;PLCG1;PTN002470111;orthologs","1-PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE PHOSPHODIESTERASE GAMMA-1 (PTHR10336:SF173)","phospholipase(PC00186)","Homo sapiens","111","3","false","PLCG1","71.22522522522523","0","111","0","0.9967624967624967","false","0","PLCG1","23858","0.3070052811432122"
"1.6965811965811965","0.0041011365544437045","0.5894206549118388","0.4775494672754947","HUMAN|HGNC=9802|UniProtKB=P15153","Ras-related C3 botulinum toxin substrate 2;RAC2;PTN002514693;orthologs","RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 2 (PTHR24072:SF169)","small GTPase(PC00208)","Homo sapiens","73","3","false","RAC2","64.97260273972603","0","73","0","0.9957782957782957","false","0","RAC2","5768","0.2800543221539915"
"1.294871794871795","0.056542441744132435","0.7722772277227722","0.31108647450110866","HUMAN|HGNC=6407|UniProtKB=P01116","GTPase KRas;KRAS;PTN002514537;orthologs","GTPASE KRAS (PTHR24070:SF388)","small GTPase(PC00208)","Homo sapiens","165","2","false","KRAS","61.21212121212121","0","165","0","0.9982128982128982","false","0","KRAS","59230","0.2615902615902616"
"1.6581196581196582","0.006232898529249573","0.6030927835051546","0.5319148936170213","HUMAN|HGNC=8804|UniProtKB=P09619","Platelet-derived growth factor receptor beta;PDGFRB;PTN002521311;orthologs","PLATELET-DERIVED GROWTH FACTOR RECEPTOR BETA (PTHR24416:SF53)","transmembrane signal receptor(PC00197)","Homo sapiens","95","3","false","PDGFRB","73.8","0","95","0","0.996011396011396","false","0","PDGFRB","10394","0.336986301369863"
"1.4230769230769231","0.017488450010351965","0.7027027027027026","0.43460475400773907","HUMAN|HGNC=8975|UniProtKB=P42336","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform;PIK3CA;PTN002467587;orthologs","PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT ALPHA ISOFORM (PTHR10048:SF107)","kinase(PC00137)","Homo sapiens","135","2","false","PIK3CA","72.2","0","135","0","0.9974358974358973","false","0","PIK3CA","25674","0.30854700854700856"
