"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.0","0.0","0.25","0.0","HUMAN|HGNC=25990|UniProtKB=Q9C0C7","Activating molecule in BECN1-regulated autophagy protein 1;AMBRA1;PTN002504884;orthologs","ACTIVATING MOLECULE IN BECN1-REGULATED AUTOPHAGY PROTEIN 1 (PTHR22874:SF1)",,"Homo sapiens","1","6","false","AMBRA1","6.0","0","1","0","0.8421052631578947","false","0","AMBRA1","0","0.0"
"3.016949152542373","0.28521665081738556","0.3314606741573034","0.0","HUMAN|HGNC=1034|UniProtKB=Q14457","Beclin-1;BECN1;PTN002489638;orthologs","BECLIN-1 (PTHR12768:SF6)","protease inhibitor(PC00191)","Homo sapiens","6","5","false","BECN1","2.5","0","6","0","0.8938447814451382","false","0","BECN1","1788","0.16666666666666666"
"3.2033898305084745","0.0","0.31216931216931215","1.0","HUMAN|HGNC=463|UniProtKB=Q9UKV5","E3 ubiquitin-protein ligase AMFR;AMFR;PTN002546495;orthologs","E3 UBIQUITIN-PROTEIN LIGASE AMFR (PTHR15067:SF5)","ubiquitin-protein ligase(PC00234)","Homo sapiens","5","7","false","AMFR","14.6","0","5","0","0.8840321141837645","false","0","AMFR","0","0.6952380952380952"
"2.3728813559322033","0.1639531170682618","0.42142857142857143","0.2875816993464052","HUMAN|HGNC=10417|UniProtKB=P62979","Ubiquitin-ribosomal protein eS31 fusion protein;RPS27A;PTN002472639;orthologs","UBIQUITIN-RIBOSOMAL PROTEIN ES31 FUSION PROTEIN (PTHR10666:SF442)",,"Homo sapiens","18","6","false","RPS27A","7.055555555555555","0","18","0","0.927743086529884","false","0","RPS27A","2778","0.22401433691756273"
"2.542372881355932","0.084030839830647","0.39333333333333337","0.35833333333333334","HUMAN|HGNC=12463|UniProtKB=P0CG47","Polyubiquitin-B;UBB;PTN001321014;orthologs","POLYUBIQUITIN-B (PTHR10666:SF437)",,"Homo sapiens","16","7","false","UBB","8.125","0","16","0","0.9188224799286352","false","0","UBB","2884","0.24621212121212122"
"2.610169491525424","0.05351275944559383","0.3831168831168831","0.4","HUMAN|HGNC=12458|UniProtKB=P62987","Ubiquitin-ribosomal protein eL40 fusion protein;UBA52;PTN002472657;orthologs","UBIQUITIN-RIBOSOMAL PROTEIN EL40 FUSION PROTEIN (PTHR10666:SF424)",,"Homo sapiens","15","7","false","UBA52","8.2","0","15","0","0.9152542372881355","false","0","UBA52","1998","0.2645161290322581"
"2.3220338983050848","0.2017768666526137","0.4306569343065693","0.26900584795321636","HUMAN|HGNC=12468|UniProtKB=P0CG48","Polyubiquitin-C;UBC;PTN002472742;orthologs","POLYUBIQUITIN-C (PTHR10666:SF458)",,"Homo sapiens","19","6","false","UBC","7.105263157894737","0","19","0","0.9304192685102586","false","0","UBC","3800","0.21371610845295055"
"3.2033898305084745","0.0","0.31216931216931215","1.0","HUMAN|HGNC=12666|UniProtKB=P55072","Transitional endoplasmic reticulum ATPase;VCP;PTN002507727;orthologs","TRANSITIONAL ENDOPLASMIC RETICULUM ATPASE (PTHR23077:SF69)","primary active transporter(PC00068)","Homo sapiens","5","7","false","VCP","14.6","0","5","0","0.8840321141837645","false","0","VCP","0","0.6952380952380952"
"3.2203389830508473","0.0","0.3105263157894737","1.0","HUMAN|HGNC=689|UniProtKB=Q9Y4X5","E3 ubiquitin-protein ligase ARIH1;ARIH1;PTN002481780;orthologs","E3 UBIQUITIN-PROTEIN LIGASE ARIH1 (PTHR11685:SF212)","ubiquitin-protein ligase(PC00234)","Homo sapiens","4","7","false","ARIH1","17.0","0","4","0","0.8831400535236396","false","0","ARIH1","0","0.8095238095238095"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=22408|UniProtKB=Q7Z3C6","Autophagy-related protein 9A;ATG9A;PTN002490437;orthologs","AUTOPHAGY-RELATED PROTEIN 9A (PTHR13038:SF13)",,"Homo sapiens","1","1","false","ATG9A","1.0","0","1","0","1.0","false","0","ATG9A","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=21899|UniProtKB=Q674R7","Autophagy-related protein 9B;ATG9B;PTN002490436;orthologs","AUTOPHAGY-RELATED PROTEIN 9B (PTHR13038:SF14)",,"Homo sapiens","1","1","false","ATG9B","1.0","0","1","0","1.0","false","0","ATG9B","0","0.0"
"3.830508474576271","0.16014026884862653","0.2610619469026549","0.0","HUMAN|HGNC=992|UniProtKB=Q07817","Bcl-2-like protein 1;BCL2L1;PTN002477650;orthologs","BCL-2-LIKE PROTEIN 1 (PTHR11256:SF12)",,"Homo sapiens","3","6","false","BCL2L1","3.3333333333333335","0","3","0","0.8510258697591437","false","0","BCL2L1","898","0.3333333333333333"
"4.711864406779661","0.09818819403857393","0.21223021582733814","0.3333333333333333","HUMAN|HGNC=6407|UniProtKB=P01116","GTPase KRas;KRAS;PTN002514537;orthologs","GTPASE KRAS (PTHR24070:SF388)","small GTPase(PC00208)","Homo sapiens","3","7","false","KRAS","2.6666666666666665","0","3","0","0.8046387154326494","false","0","KRAS","546","0.4666666666666667"
"4.813559322033898","0.0","0.20774647887323947","0.0","HUMAN|HGNC=11998|UniProtKB=P04637","Cellular tumor antigen p53;TP53;PTN002479088;orthologs","CELLULAR TUMOR ANTIGEN P53 (PTHR11447:SF6)","P53-like transcription factor(PC00253)","Homo sapiens","1","7","false","TP53","3.0","0","1","0","0.7992863514719001","false","0","TP53","0","0.0"
