1	2	3	4	5	6
HUMAN|HGNC=14565|UniProtKB=Q9BX66	SORBS1	Sorbin and SH3 domain-containing protein 1;SORBS1;PTN000070075;orthologs	SORBIN AND SH3 DOMAIN-CONTAINING PROTEIN 1 (PTHR14167:SF64)	scaffold/adaptor protein(PC00226)	Homo sapiens
HUMAN|HGNC=2460|UniProtKB=P67870	CSNK2B	Casein kinase II subunit beta;CSNK2B;PTN002482727;orthologs	CASEIN KINASE II SUBUNIT BETA (PTHR11740:SF0)	kinase modulator(PC00140)	Homo sapiens
HUMAN|HGNC=9706|UniProtKB=Q15223	NECTIN1	Nectin-1;NECTIN1;PTN002510784;orthologs	NECTIN-1 (PTHR23277:SF69)	cell adhesion molecule(PC00069)	Homo sapiens
HUMAN|HGNC=7670|UniProtKB=Q9Y6Q9	RAC3	Nuclear receptor coactivator 3;NCOA3;PTN002473103;orthologs	NUCLEAR RECEPTOR COACTIVATOR 3 (PTHR10684:SF3)	histone modifying enzyme(PC00261)	Homo sapiens
HUMAN|HGNC=6551|UniProtKB=Q9UJU2	LEF1	Lymphoid enhancer-binding factor 1;LEF1;PTN002470455;orthologs	LYMPHOID ENHANCER-BINDING FACTOR 1 (PTHR10373:SF11)	DNA-binding transcription factor(PC00218)	Homo sapiens
HUMAN|HGNC=11639|UniProtKB=P36402	TCF7	Transcription factor 7;TCF7;PTN002470456;orthologs	TRANSCRIPTION FACTOR 7 (PTHR10373:SF33)	DNA-binding transcription factor(PC00218)	Homo sapiens
HUMAN|HGNC=6091|UniProtKB=P06213	INSR	Insulin receptor;INSR;PTN002521380;orthologs	INSULIN RECEPTOR (PTHR24416:SF535)	transmembrane signal receptor(PC00197)	Homo sapiens
HUMAN|HGNC=2514|UniProtKB=P35222	CTNNB1	Catenin beta-1;CTNNB1;PTN002511128;orthologs	CATENIN BETA-1 (PTHR45976:SF4)		Homo sapiens
HUMAN|HGNC=8761|UniProtKB=Q9BUL8	PDCD10	Programmed cell death protein 10;PDCD10;PTN002491198;orthologs	PROGRAMMED CELL DEATH PROTEIN 10 (PTHR13250:SF1)		Homo sapiens
HUMAN|HGNC=11640|UniProtKB=Q9HCS4	TCF7L1	Transcription factor 7-like 1;TCF7L1;PTN002470459;orthologs	TRANSCRIPTION FACTOR 7-LIKE 1 (PTHR10373:SF25)	DNA-binding transcription factor(PC00218)	Homo sapiens
HUMAN|HGNC=6110|UniProtKB=P46940	IQGAP1	Ras GTPase-activating-like protein IQGAP1;IQGAP1;PTN002493889;orthologs	RAS GTPASE-ACTIVATING-LIKE PROTEIN IQGAP1 (PTHR14149:SF15)	GTPase-activating protein(PC00257)	Homo sapiens
HUMAN|HGNC=19688|UniProtKB=Q96NY8	NECTIN4	Nectin-4;NECTIN4;PTN002510755;orthologs	NECTIN-4 (PTHR23277:SF11)	cell adhesion molecule(PC00069)	Homo sapiens
HUMAN|HGNC=9803|UniProtKB=P60763	RAC3	Ras-related C3 botulinum toxin substrate 3;RAC3;PTN002514694;orthologs	RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 3 (PTHR24072:SF325)	small GTPase(PC00208)	Homo sapiens
HUMAN|HGNC=12731|UniProtKB=P42768	WAS	Actin nucleation-promoting factor WAS;WAS;;orthologs			Homo sapiens
HUMAN|HGNC=10251|UniProtKB=Q13464	ROCK1	Rho-associated protein kinase 1;ROCK1;PTN002506645;orthologs	RHO-ASSOCIATED PROTEIN KINASE 1 (PTHR22988:SF33)	non-receptor serine/threonine protein kinase(PC00167)	Homo sapiens
HUMAN|HGNC=21708|UniProtKB=Q9BSQ5	CCM2	Cerebral cavernous malformations 2 protein;CCM2;PTN002502564;orthologs	CEREBRAL CAVERNOUS MALFORMATIONS 2 PROTEIN (PTHR21642:SF4)		Homo sapiens
HUMAN|HGNC=6859|UniProtKB=O43318	MAP3K7	Mitogen-activated protein kinase kinase kinase 7;MAP3K7;PTN002521934;orthologs	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 7 (PTHR46716:SF1)	non-receptor serine/threonine protein kinase(PC00167)	Homo sapiens
HUMAN|HGNC=29227|UniProtKB=Q9ULI3	HEG1	Protein HEG homolog 1;HEG1;PTN002513859;orthologs	PROTEIN HEG HOMOLOG 1 (PTHR24037:SF3)		Homo sapiens
HUMAN|HGNC=122|UniProtKB=P24666	ACP1	Low molecular weight phosphotyrosine protein phosphatase;ACP1;PTN002482374;orthologs	LOW MOLECULAR WEIGHT PHOSPHOTYROSINE PROTEIN PHOSPHATASE (PTHR11717:SF34)	protein phosphatase(PC00195)	Homo sapiens
