"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.427083333333333","0.0","0.22588235294117648","1.0","HUMAN|HGNC=132|UniProtKB=P60709","Actin, cytoplasmic 1;ACTB;PTN002485092;orthologs","ACTIN, CYTOPLASMIC 1 (PTHR11937:SF414)","actin and actin related protein(PC00039)","Homo sapiens","4","7","false","ACTB","6.0","0","4","0","0.8442234848484849","false","0","ACTB","0","0.75"
"3.46875","0.02634804823659313","0.2882882882882883","0.5714285714285714","HUMAN|HGNC=2509|UniProtKB=P35221","Catenin alpha-1;CTNNA1;PTN002498079;orthologs","CATENIN ALPHA-1 (PTHR18914:SF24)","non-motor actin binding protein(PC00165)","Homo sapiens","8","6","false","CTNNA1","8.375","0","8","0","0.8877840909090909","false","0","CTNNA1","1568","0.3489583333333333"
"3.7395833333333335","0.008278586953122558","0.26740947075208915","0.7333333333333333","HUMAN|HGNC=2510|UniProtKB=P26232","Catenin alpha-2;CTNNA2;PTN002498085;orthologs","CATENIN ALPHA-2 (PTHR18914:SF23)","non-motor actin binding protein(PC00165)","Homo sapiens","6","7","false","CTNNA2","7.833333333333333","0","6","0","0.8754734848484849","false","0","CTNNA2","728","0.373015873015873"
"3.7395833333333335","0.008278586953122558","0.26740947075208915","0.7333333333333333","HUMAN|HGNC=2511|UniProtKB=Q9UI47","Catenin alpha-3;CTNNA3;PTN002498080;orthologs","CATENIN ALPHA-3 (PTHR18914:SF21)","non-motor actin binding protein(PC00165)","Homo sapiens","6","7","false","CTNNA3","7.833333333333333","0","6","0","0.8754734848484849","false","0","CTNNA3","728","0.373015873015873"
"4.427083333333333","0.0","0.22588235294117648","1.0","HUMAN|HGNC=144|UniProtKB=P63261","Actin, cytoplasmic 2;ACTG1;PTN002485076;orthologs","ACTIN, CYTOPLASMIC 2 (PTHR11937:SF575)","actin and actin related protein(PC00039)","Homo sapiens","4","7","false","ACTG1","6.0","0","4","0","0.8442234848484849","false","0","ACTG1","0","0.75"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=20250|UniProtKB=Q96IF1","LIM domain-containing protein ajuba;AJUBA;PTN002516923;orthologs","LIM DOMAIN-CONTAINING PROTEIN AJUBA (PTHR24219:SF7)","transcription cofactor(PC00217)","Homo sapiens","2","1","false","AJUBA","2.0","0","2","0","1.0","false","0","AJUBA","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=20964|UniProtKB=A6NIX2","Wilms tumor protein 1-interacting protein;WTIP;PTN002516924;orthologs","WILMS TUMOR PROTEIN 1-INTERACTING PROTEIN (PTHR24219:SF6)","transcription cofactor(PC00217)","Homo sapiens","2","1","false","WTIP","2.0","0","2","0","1.0","false","0","WTIP","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=6612|UniProtKB=Q9UGP4","LIM domain-containing protein 1;LIMD1;PTN002516922;orthologs","LIM DOMAIN-CONTAINING PROTEIN 1 (PTHR24219:SF3)","transcription cofactor(PC00217)","Homo sapiens","2","1","false","LIMD1","2.0","0","2","0","1.0","false","0","LIMD1","0","1.0"
"3.1770833333333335","0.14649143934554146","0.3147540983606557","0.2","HUMAN|HGNC=17810|UniProtKB=Q4VCS5","Angiomotin;AMOT;PTN002495140;orthologs","ANGIOMOTIN (PTHR14826:SF6)",,"Homo sapiens","6","6","false","AMOT","10.166666666666666","0","6","0","0.9010416666666667","false","0","AMOT","4410","0.29901960784313725"
"3.5833333333333335","0.05211177546510362","0.27906976744186046","0.26666666666666666",,,,,,"6","6","false","MPP5","5.333333333333333","0","6","0","0.8825757575757577","false","0","MPP5","1222","0.36904761904761907"
"3.5416666666666665","0.04156227057542846","0.2823529411764706","0.6190476190476191","HUMAN|HGNC=9404|UniProtKB=P41743","Protein kinase C iota type;PRKCI;PTN002519422;orthologs","PROTEIN KINASE C IOTA TYPE (PTHR24356:SF214)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","7","6","false","PRKCI","7.142857142857143","0","7","0","0.8844696969696969","false","0","PRKCI","1332","0.37593984962406013"
"3.5416666666666665","0.046348704686552944","0.2823529411764706","0.5714285714285714","HUMAN|HGNC=9412|UniProtKB=Q05513","Protein kinase C zeta type;PRKCZ;PTN002519421;orthologs","PROTEIN KINASE C ZETA TYPE (PTHR24356:SF170)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","7","6","false","PRKCZ","7.0","0","7","0","0.8844696969696969","false","0","PRKCZ","1528","0.3684210526315789"
"2.8333333333333335","0.21193610019415582","0.3529411764705882","0.2683982683982684","HUMAN|HGNC=16262|UniProtKB=P46937","Transcriptional coactivator YAP1;YAP1;PTN002497854;orthologs","TRANSCRIPTIONAL COACTIVATOR YAP1 (PTHR17616:SF9)","transcription cofactor(PC00217)","Homo sapiens","22","6","false","YAP1","7.409090909090909","0","22","0","0.9166666666666667","false","0","YAP1","5992","0.22451790633608815"
"2.75","0.16832294738315592","0.36363636363636365","0.2647058823529412","HUMAN|HGNC=24042|UniProtKB=Q9GZV5","WW domain-containing transcription regulator protein 1;WWTR1;PTN002497853;orthologs","WW DOMAIN-CONTAINING TRANSCRIPTION REGULATOR PROTEIN 1 (PTHR17616:SF6)","transcription cofactor(PC00217)","Homo sapiens","17","5","false","WWTR1","8.058823529411764","0","17","0","0.9204545454545454","false","0","WWTR1","5672","0.2"
"4.104166666666667","0.0","0.24365482233502536","1.0","HUMAN|HGNC=28881|UniProtKB=Q8NI35","InaD-like protein;PATJ;PTN002500763;orthologs","INAD-LIKE PROTEIN (PTHR19964:SF11)","scaffold/adaptor protein(PC00226)","Homo sapiens","2","7","false","PATJ","6.0","0","2","0","0.8589015151515151","false","0","PATJ","0","0.6"
"2.9375","0.05048270619921055","0.3404255319148936","0.48484848484848486","HUMAN|HGNC=583|UniProtKB=P25054","Adenomatous polyposis coli protein;APC;PTN002489064;orthologs","ADENOMATOUS POLYPOSIS COLI PROTEIN (PTHR12607:SF11)",,"Homo sapiens","12","6","false","APC","9.166666666666666","0","12","0","0.9119318181818182","false","0","APC","1940","0.2619047619047619"
"2.6875","0.28564153468733267","0.37209302325581395","0.3484848484848485","HUMAN|HGNC=3086|UniProtKB=O14641","Segment polarity protein dishevelled homolog DVL-2;DVL2;PTN002474682;orthologs","SEGMENT POLARITY PROTEIN DISHEVELLED HOMOLOG DVL-2 (PTHR10878:SF8)","scaffold/adaptor protein(PC00226)","Homo sapiens","12","6","false","DVL2","8.416666666666666","0","12","0","0.9232954545454546","false","0","DVL2","6796","0.1875"
"3.3125","0.07291309871901981","0.3018867924528302","0.2","HUMAN|HGNC=12782|UniProtKB=P56703","Proto-oncogene Wnt-3;WNT3;PTN002485948;orthologs","PROTO-ONCOGENE WNT-3 (PTHR12027:SF82)","intercellular signal molecule(PC00207)","Homo sapiens","6","6","false","WNT3","7.5","0","6","0","0.8948863636363636","false","0","WNT3","1872","0.2692307692307692"
"3.4895833333333335","0.002554344949855786","0.28656716417910444","0.7333333333333333","HUMAN|HGNC=1748|UniProtKB=P12830","Cadherin-1;CDH1;PTN002513222;orthologs","CADHERIN-1 (PTHR24027:SF319)","cadherin(PC00057)","Homo sapiens","6","6","false","CDH1","10.166666666666666","0","6","0","0.8868371212121212","false","0","CDH1","232","0.4236111111111111"
"3.0104166666666665","0.023708209983924918","0.3321799307958478","0.6","HUMAN|HGNC=19989|UniProtKB=Q9UJX6","Anaphase-promoting complex subunit 2;ANAPC2;PTN002484879;orthologs","ANAPHASE-PROMOTING COMPLEX SUBUNIT 2 (PTHR45957:SF1)",,"Homo sapiens","10","6","false","APC2","10.1","0","10","0","0.9086174242424242","false","0","APC2","1302","0.3258064516129032"
"3.2916666666666665","0.0025975419881237045","0.3037974683544304","0.7857142857142857","HUMAN|HGNC=3087|UniProtKB=Q92997","Segment polarity protein dishevelled homolog DVL-3;DVL3;PTN002474683;orthologs","SEGMENT POLARITY PROTEIN DISHEVELLED HOMOLOG DVL-3 (PTHR10878:SF6)","scaffold/adaptor protein(PC00226)","Homo sapiens","8","7","false","DVL3","9.125","0","8","0","0.8958333333333333","false","0","DVL3","204","0.45625"
"3.2916666666666665","0.0025975419881237045","0.3037974683544304","0.7857142857142857","HUMAN|HGNC=3084|UniProtKB=O14640","Segment polarity protein dishevelled homolog DVL-1;DVL1;PTN002474681;orthologs","SEGMENT POLARITY PROTEIN DISHEVELLED HOMOLOG DVL-1-RELATED (PTHR10878:SF5)","scaffold/adaptor protein(PC00226)","Homo sapiens","8","7","false","DVL1","9.125","0","8","0","0.8958333333333333","false","0","DVL1","204","0.45625"
"3.3854166666666665","0.020833333333333332","0.2953846153846154","0.6","HUMAN|HGNC=1144|UniProtKB=Q9Y297","F-box_WD repeat-containing protein 1A;BTRC;PTN002542101;orthologs","F-BOX_WD REPEAT-CONTAINING PROTEIN 1A (PTHR14604:SF5)","microtubule or microtubule-binding cytoskeletal protein(PC00157)","Homo sapiens","5","6","false","BTRC","10.2","0","5","0","0.8915719696969696","false","0","BTRC","576","0.4166666666666667"
"3.03125","0.011819828559481483","0.32989690721649484","0.7222222222222222","HUMAN|HGNC=904|UniProtKB=Q9Y2T1","Axin-2;AXIN2;PTN002474407;orthologs","AXIN-2 (PTHR46102:SF1)","scaffold/adaptor protein(PC00226)","Homo sapiens","9","6","false","AXIN2","10.555555555555555","0","9","0","0.9076704545454546","false","0","AXIN2","832","0.35185185185185186"
"2.8229166666666665","0.2656333300783457","0.3542435424354244","0.18128654970760233","HUMAN|HGNC=2514|UniProtKB=P35222","Catenin beta-1;CTNNB1;PTN002511128;orthologs","CATENIN BETA-1 (PTHR45976:SF4)",,"Homo sapiens","19","6","false","CTNNB1","7.578947368421052","0","19","0","0.9171401515151515","false","0","CTNNB1","11654","0.17503059975520197"
"3.2083333333333335","0.061246345029239785","0.3116883116883117","0.5714285714285714","HUMAN|HGNC=4617|UniProtKB=P49841","Glycogen synthase kinase-3 beta;GSK3B;PTN002514197;orthologs","GLYCOGEN SYNTHASE KINASE-3 BETA (PTHR24057:SF8)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","8","6","false","GSK3B","10.25","0","8","0","0.8996212121212122","false","0","GSK3B","2134","0.2847222222222222"
"2.90625","0.1462754119624332","0.34408602150537637","0.5454545454545454","HUMAN|HGNC=903|UniProtKB=O15169","Axin-1;AXIN1;PTN002474406;orthologs","AXIN-1 (PTHR46102:SF3)","scaffold/adaptor protein(PC00226)","Homo sapiens","11","6","false","AXIN1","9.818181818181818","0","11","0","0.9133522727272727","false","0","AXIN1","3964","0.2517482517482518"
