"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.65","0.022435897435897436","0.37735849056603776","0.8666666666666667","HUMAN|HGNC=29509|UniProtKB=Q96BI3","Gamma-secretase subunit APH-1A;APH1A;PTN002490038;orthologs","GAMMA-SECRETASE SUBUNIT APH-1A (PTHR12889:SF3)","protease(PC00190)","Homo sapiens","6","6","false","APH1A","8.0","0","6","0","0.9175000000000001","false","0","APH1A","292","0.36363636363636365"
"3.525","0.0","0.28368794326241137","1.0","HUMAN|HGNC=24080|UniProtKB=Q8WW43","Gamma-secretase subunit APH-1B;APH1B;PTN002490039;orthologs","GAMMA-SECRETASE SUBUNIT APH-1B (PTHR12889:SF1)","protease(PC00190)","Homo sapiens","5","7","false","APH1B","5.8","0","5","0","0.87375","false","0","APH1B","0","0.9666666666666667"
"2.65","0.022435897435897436","0.37735849056603776","0.8666666666666667","HUMAN|HGNC=17091|UniProtKB=Q92542","Nicastrin;NCSTN;PTN002501334;orthologs","NICASTRIN (PTHR21092:SF0)",,"Homo sapiens","6","6","false","NCSTN","8.0","0","6","0","0.9175000000000001","false","0","NCSTN","292","0.36363636363636365"
"2.65","0.022435897435897436","0.37735849056603776","0.8666666666666667","HUMAN|HGNC=9508|UniProtKB=P49768","Presenilin-1;PSEN1;PTN002469028;orthologs","PRESENILIN-1 (PTHR10202:SF18)","aspartic protease(PC00053)","Homo sapiens","6","6","false","PSEN1","8.0","0","6","0","0.9175000000000001","false","0","PSEN1","292","0.36363636363636365"
"3.525","0.0","0.28368794326241137","1.0","HUMAN|HGNC=9509|UniProtKB=P49810","Presenilin-2;PSEN2;PTN002469027;orthologs","PRESENILIN-2 (PTHR10202:SF24)","aspartic protease(PC00053)","Homo sapiens","5","7","false","PSEN2","5.8","0","5","0","0.87375","false","0","PSEN2","0","0.9666666666666667"
"1.85","0.5417060218983295","0.5405405405405405","0.18421052631578946","HUMAN|HGNC=7881|UniProtKB=P46531","Neurogenic locus notch homolog protein 1;NOTCH1;PTN002540183;orthologs","NEUROGENIC LOCUS NOTCH HOMOLOG PROTEIN 1 (PTHR45836:SF12)",,"Homo sapiens","20","5","false","NOTCH1","6.7","0","20","0","0.9574999999999999","false","0","NOTCH1","2964","0.22758620689655173"
"2.65","0.022435897435897436","0.37735849056603776","0.8666666666666667","HUMAN|HGNC=30100|UniProtKB=Q9NZ42","Gamma-secretase subunit PEN-2;PSENEN;PTN002497387;orthologs","GAMMA-SECRETASE SUBUNIT PEN-2 (PTHR16318:SF0)",,"Homo sapiens","6","6","false","PSENEN","8.0","0","6","0","0.9175000000000001","false","0","PSENEN","292","0.36363636363636365"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=10548|UniProtKB=P54253","Ataxin-1;ATXN1;PTN002491539;orthologs","ATAXIN-1 (PTHR13392:SF5)",,"Homo sapiens","1","1","false","ATXN1","1.0","0","1","0","1.0","false","0","ATXN1","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=33279|UniProtKB=P0C7T5","Ataxin-1-like;ATXN1L;PTN002491538;orthologs","ATAXIN-1-LIKE (PTHR13392:SF6)",,"Homo sapiens","1","1","false","ATXN1L","1.0","0","1","0","1.0","false","0","ATXN1L","0","0.0"
"2.625","0.009233821733821734","0.38095238095238093","0.6785714285714286","HUMAN|HGNC=2348|UniProtKB=Q92793","CREB-binding protein;CREBBP;PTN002492802;orthologs","CREB-BINDING PROTEIN (PTHR13808:SF34)","histone modifying enzyme(PC00261)","Homo sapiens","8","5","false","CREBBP","9.125","0","8","0","0.91875","false","0","CREBBP","54","0.5703125"
"2.75","0.0","0.36363636363636365","1.0","HUMAN|HGNC=4201|UniProtKB=Q92830","Histone acetyltransferase KAT2A;KAT2A;PTN002504935;orthologs","HISTONE ACETYLTRANSFERASE KAT2A (PTHR45750:SF1)",,"Homo sapiens","6","5","false","KAT2A","9.666666666666666","0","6","0","0.9125","false","0","KAT2A","0","0.6904761904761905"
"2.3","0.049128371628371616","0.4347826086956522","0.5","HUMAN|HGNC=16696|UniProtKB=Q13573","SNW domain-containing protein 1;SNW1;PTN002486154;orthologs","SNW DOMAIN-CONTAINING PROTEIN 1 (PTHR12096:SF0)","RNA splicing factor(PC00148)","Homo sapiens","5","5","false","SNW1","10.6","0","5","0","0.9349999999999999","false","0","SNW1","416","0.37857142857142856"
"2.125","0.12794561919561923","0.47058823529411764","0.4696969696969697","HUMAN|HGNC=5724|UniProtKB=Q06330","Recombining binding protein suppressor of hairless;RBPJ;PTN002472629;orthologs","RECOMBINING BINDING PROTEIN SUPPRESSOR OF HAIRLESS (PTHR10665:SF7)","Rel homology transcription factor(PC00252)","Homo sapiens","12","5","false","RBPJ","9.166666666666666","0","12","0","0.94375","false","0","RBPJ","858","0.3273809523809524"
