"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=132|UniProtKB=P60709","Actin, cytoplasmic 1;ACTB;PTN002485092;orthologs","ACTIN, CYTOPLASMIC 1 (PTHR11937:SF414)","actin and actin related protein(PC00039)","Homo sapiens","1","1","false","ACTB","1.0","0","1","0","1.0","false","0","ACTB","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=144|UniProtKB=P63261","Actin, cytoplasmic 2;ACTG1;PTN002485076;orthologs","ACTIN, CYTOPLASMIC 2 (PTHR11937:SF575)","actin and actin related protein(PC00039)","Homo sapiens","1","1","false","ACTG1","1.0","0","1","0","1.0","false","0","ACTG1","0","0.0"
"1.0","0.6666666666666666","1.0","0.3333333333333333","HUMAN|HGNC=391|UniProtKB=P31749","RAC-alpha serine_threonine-protein kinase;AKT1;PTN002519490;orthologs","RAC-ALPHA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF171)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","1","false","AKT1","1.6666666666666667","0","3","0","1.0","false","0","AKT1","4","0.6666666666666666"
"1.6666666666666667","0.0","0.6","0.0","HUMAN|HGNC=8816|UniProtKB=O15530","3-phosphoinositide-dependent protein kinase 1;PDPK1;PTN002519480;orthologs","3-PHOSPHOINOSITIDE-DEPENDENT PROTEIN KINASE 1-RELATED (PTHR24356:SF163)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","1","2","false","PDPK1","3.0","0","1","0","0.7777777777777777","false","0","PDPK1","0","0.0"
"1.3333333333333333","0.0","0.75","1.0","HUMAN|HGNC=392|UniProtKB=P31751","RAC-beta serine_threonine-protein kinase;AKT2;PTN002519489;orthologs","RAC-BETA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF176)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","2","false","AKT2","2.5","0","2","0","0.888888888888889","false","0","AKT2","0","0.8333333333333334"
"1.3333333333333333","0.0","0.75","1.0","HUMAN|HGNC=393|UniProtKB=Q9Y243","RAC-gamma serine_threonine-protein kinase;AKT3;PTN002519488;orthologs","RAC-GAMMA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF190)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","2","false","AKT3","2.5","0","2","0","0.888888888888889","false","0","AKT3","0","0.8333333333333334"
"2.5142857142857142","0.014269539983825701","0.39772727272727276","0.6666666666666666","HUMAN|HGNC=576|UniProtKB=O14727","Apoptotic protease-activating factor 1;APAF1;PTN002504475;orthologs","APOPTOTIC PROTEASE-ACTIVATING FACTOR 1 (PTHR22845:SF5)",,"Homo sapiens","4","4","false","APAF1","6.0","0","4","0","0.9242857142857144","false","0","APAF1","74","0.42857142857142855"
"3.142857142857143","0.0","0.3181818181818182","1.0","HUMAN|HGNC=19986|UniProtKB=P99999","Cytochrome c;CYCS;PTN002485392;orthologs","CYTOCHROME C (PTHR11961:SF29)",,"Homo sapiens","2","5","false","CYCS","4.5","0","2","0","0.8928571428571429","false","0","CYCS","0","0.9"
"2.1142857142857143","0.03907954790307732","0.47297297297297297","0.38095238095238093","HUMAN|HGNC=1504|UniProtKB=P42574","Caspase-3;CASP3;PTN002470796;orthologs","CASPASE-3 (PTHR10454:SF198)","protease(PC00190)","Homo sapiens","7","4","false","CASP3","6.285714285714286","0","7","0","0.9442857142857143","false","0","CASP3","106","0.25142857142857145"
"2.2","0.048451464501884665","0.45454545454545453","0.5","HUMAN|HGNC=1511|UniProtKB=P55211","Caspase-9;CASP9;PTN002470793;orthologs","CASPASE-9 (PTHR10454:SF157)","protease(PC00190)","Homo sapiens","5","4","false","CASP9","8.0","0","5","0","0.9400000000000001","false","0","CASP9","188","0.3333333333333333"
"1.8285714285714285","0.16173508564264863","0.546875","0.28888888888888886","HUMAN|HGNC=592|UniProtKB=P98170","E3 ubiquitin-protein ligase XIAP;XIAP;PTN002467532;orthologs","E3 UBIQUITIN-PROTEIN LIGASE XIAP (PTHR10044:SF115)","protease inhibitor(PC00191)","Homo sapiens","10","3","false","XIAP","8.5","0","10","0","0.9585714285714285","false","0","XIAP","584","0.28"
