"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.8157894736842106","0.0","0.26206896551724135","0.0","HUMAN|HGNC=329|UniProtKB=O00468","Agrin;AGRN;PTN002471735;orthologs","AGRIN (PTHR15036:SF83)","cell adhesion molecule(PC00069)","Homo sapiens","1","7","false","AGRN","4.0","0","1","0","0.8826754385964911","false","0","AGRN","0","0.0"
"2.8421052631578947","0.10384068278805121","0.35185185185185186","0.16666666666666666","HUMAN|HGNC=2666|UniProtKB=Q14118","Dystroglycan 1;DAG1;PTN002502358;orthologs","DYSTROGLYCAN 1 (PTHR21559:SF22)","cell adhesion molecule(PC00069)","Homo sapiens","4","6","false","DAG1","3.75","0","4","0","0.9232456140350878","false","0","DAG1","282","0.40625"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=1681|UniProtKB=P16070","CD44 antigen;CD44;PTN002469334;orthologs","CD44 ANTIGEN (PTHR10225:SF6)","transmembrane signal receptor(PC00197)","Homo sapiens","1","1","false","CD44","1.0","0","1","0","1.0","false","0","CD44","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=17720|UniProtKB=Q9BX95","Sphingosine-1-phosphate phosphatase 1;SGPP1;PTN002495285;orthologs","SPHINGOSINE-1-PHOSPHATE PHOSPHATASE 1 (PTHR14969:SF45)","phosphatase(PC00181)","Homo sapiens","1","1","false","SPP1","1.0","0","1","0","1.0","false","0","SPP1","0","0.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=2197|UniProtKB=P02452","Collagen alpha-1(I) chain;COL1A1;;orthologs",,,"Homo sapiens","2","1","false","COL1A1","2.0","0","2","0","1.0","false","0","COL1A1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=2200|UniProtKB=P02458","Collagen alpha-1(II) chain;COL2A1;PTN002513148;orthologs","COLLAGEN ALPHA-1(II) CHAIN (PTHR24023:SF58)","extracellular matrix structural protein(PC00103)","Homo sapiens","2","1","false","COL2A1","2.0","0","2","0","1.0","false","0","COL2A1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=2198|UniProtKB=P08123","Collagen alpha-2(I) chain;COL1A2;PTN002513136;orthologs","COLLAGEN ALPHA-2(I) CHAIN (PTHR24023:SF568)","extracellular matrix structural protein(PC00103)","Homo sapiens","2","1","false","COL1A2","2.0","0","2","0","1.0","false","0","COL1A2","0","1.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=2202|UniProtKB=P02462","Collagen alpha-1(IV) chain;COL4A1;PTN002513090;orthologs","COLLAGEN ALPHA-1(IV) CHAIN (PTHR24023:SF854)","extracellular matrix structural protein(PC00103)","Homo sapiens","1","1","false","COL4A1","1.0","0","1","0","1.0","false","0","COL4A1","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=2203|UniProtKB=P08572","Collagen alpha-2(IV) chain;COL4A2;PTN002513091;orthologs","COLLAGEN ALPHA-2(IV) CHAIN (PTHR24023:SF588)","extracellular matrix structural protein(PC00103)","Homo sapiens","1","1","false","COL4A2","1.0","0","1","0","1.0","false","0","COL4A2","0","0.0"
"1.3333333333333333","0.0","0.75","1.0","HUMAN|HGNC=2204|UniProtKB=Q01955","Collagen alpha-3(IV) chain;COL4A3;PTN000614385;orthologs","COLLAGEN ALPHA-3(IV) CHAIN (PTHR24023:SF1070)","extracellular matrix structural protein(PC00103)","Homo sapiens","2","2","false","COL4A3","2.5","0","2","0","0.888888888888889","false","0","COL4A3","0","0.8333333333333334"
