"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.2033898305084745","0.21414984866798217","0.45384615384615384","0.4065934065934066","HUMAN|HGNC=132|UniProtKB=P60709","Actin, cytoplasmic 1;ACTB;PTN002485092;orthologs","ACTIN, CYTOPLASMIC 1 (PTHR11937:SF414)","actin and actin related protein(PC00039)","Homo sapiens","14","5","false","ACTB","9.142857142857142","0","14","0","0.919774011299435","false","0","ACTB","2500","0.22857142857142856"
"2.7288135593220337","0.024331589869888766","0.36645962732919257","0.6111111111111112","HUMAN|HGNC=12665|UniProtKB=P18206","Vinculin;VCL;PTN002498090;orthologs","VINCULIN (PTHR46180:SF6)",,"Homo sapiens","9","6","false","VCL","9.777777777777779","0","9","0","0.8847457627118643","false","0","VCL","424","0.42028985507246375"
"2.76271186440678","0.01692967075784141","0.36196319018404904","0.6388888888888888","HUMAN|HGNC=166|UniProtKB=O43707","Alpha-actinin-4;ACTN4;PTN002539722;orthologs","ALPHA-ACTININ-4 (PTHR11915:SF425)","actin or actin-binding cytoskeletal protein(PC00041)","Homo sapiens","9","6","false","ACTN4","9.666666666666666","0","9","0","0.8824858757062146","false","0","ACTN4","398","0.4393939393939394"
"2.542372881355932","0.07451337460995419","0.39333333333333337","0.4","HUMAN|HGNC=6110|UniProtKB=P46940","Ras GTPase-activating-like protein IQGAP1;IQGAP1;PTN002493889;orthologs","RAS GTPASE-ACTIVATING-LIKE PROTEIN IQGAP1 (PTHR14149:SF15)","GTPase-activating protein(PC00257)","Homo sapiens","5","6","false","IQGAP1","11.8","0","5","0","0.8971751412429378","false","0","IQGAP1","1018","0.3741935483870968"
"3.016949152542373","0.1309175920514319","0.3314606741573034","0.2","HUMAN|HGNC=15754|UniProtKB=P24844","Myosin regulatory light polypeptide 9;MYL9;PTN002507250;orthologs","MYOSIN REGULATORY LIGHT POLYPEPTIDE 9 (PTHR23049:SF34)","actin or actin-binding cytoskeletal protein(PC00041)","Homo sapiens","6","6","false","MYL9","6.0","0","6","0","0.8655367231638418","false","0","MYL9","1544","0.3157894736842105"
"2.3220338983050848","0.11076090827704864","0.4306569343065693","0.5","HUMAN|HGNC=2509|UniProtKB=P35221","Catenin alpha-1;CTNNA1;PTN002498079;orthologs","CATENIN ALPHA-1 (PTHR18914:SF24)","non-motor actin binding protein(PC00165)","Homo sapiens","13","5","false","CTNNA1","9.538461538461538","0","13","0","0.911864406779661","false","0","CTNNA1","1528","0.2725274725274725"
"2.847457627118644","0.056023524254821704","0.3511904761904762","0.4","HUMAN|HGNC=947|UniProtKB=Q9UQB8","Brain-specific angiogenesis inhibitor 1-associated protein 2;BAIAP2;PTN002494276;orthologs","BRAIN-SPECIFIC ANGIOGENESIS INHIBITOR 1-ASSOCIATED PROTEIN 2 (PTHR14206:SF3)","scaffold/adaptor protein(PC00226)","Homo sapiens","6","6","false","BAIAP2","7.166666666666667","0","6","0","0.8768361581920904","false","0","BAIAP2","628","0.3115942028985507"
"2.6271186440677967","0.0","0.38064516129032255","1.0","HUMAN|HGNC=11827|UniProtKB=Q07157","Tight junction protein ZO-1;TJP1;PTN002493221;orthologs","TIGHT JUNCTION PROTEIN ZO-1 (PTHR13865:SF25)","tight junction(PC00214)","Homo sapiens","6","5","false","TJP1","13.0","0","6","0","0.8915254237288136","false","0","TJP1","0","0.4642857142857143"
"2.389830508474576","0.35408674707330484","0.4184397163120568","0.20952380952380953","HUMAN|HGNC=7137|UniProtKB=P55196","Afadin;AFDN;PTN002470553;orthologs","AFADIN (PTHR10398:SF2)","non-motor actin binding protein(PC00165)","Homo sapiens","15","5","false","AFDN","6.666666666666667","0","15","0","0.9073446327683616","false","0","AFDN","3246","0.23095238095238096"
"2.9491525423728815","0.0","0.3390804597701149","1.0","HUMAN|HGNC=12731|UniProtKB=P42768","Actin nucleation-promoting factor WAS;WAS;;orthologs",,,"Homo sapiens","3","6","false","WAS","13.0","0","3","0","0.8700564971751412","false","0","WAS","0","0.65"
