"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.721311475409836","0.0","0.3674698795180723","1.0","HUMAN|HGNC=588|UniProtKB=O94817","Ubiquitin-like protein ATG12;ATG12;PTN002491519;orthologs","UBIQUITIN-LIKE PROTEIN ATG12 (PTHR13385:SF5)",,"Homo sapiens","3","5","false","ATG12","11.0","0","3","0","0.9282786885245903","false","0","ATG12","0","0.4782608695652174"
"2.721311475409836","0.0","0.3674698795180723","1.0","HUMAN|HGNC=589|UniProtKB=Q9H1Y0","Autophagy protein 5;ATG5;PTN002490440;orthologs","AUTOPHAGY PROTEIN 5 (PTHR13040:SF2)","membrane trafficking regulatory protein(PC00151)","Homo sapiens","3","5","false","ATG5","11.0","0","3","0","0.9282786885245903","false","0","ATG5","0","0.4782608695652174"
"2.2295081967213113","0.20942943898229904","0.4485294117647059","0.2",,,,,,"11","4","false","DDX58","8.636363636363637","0","11","0","0.9487704918032787","false","0","DDX58","3936","0.23484848484848486"
"2.0327868852459017","0.19116184980292225","0.49193548387096775","0.3216374269005848","HUMAN|HGNC=29233|UniProtKB=Q7Z434","Mitochondrial antiviral-signaling protein;MAVS;PTN002502010;orthologs","MITOCHONDRIAL ANTIVIRAL-SIGNALING PROTEIN (PTHR21446:SF6)",,"Homo sapiens","19","5","false","MAVS","11.263157894736842","0","19","0","0.9569672131147541","false","0","MAVS","3066","0.247953216374269"
"2.8360655737704916","0.0","0.3526011560693642","1.0","HUMAN|HGNC=24002|UniProtKB=Q9H6S1","5-azacytidine-induced protein 2;AZI2;PTN002494663;orthologs","5-AZACYTIDINE-INDUCED PROTEIN 2 (PTHR14432:SF6)",,"Homo sapiens","5","6","false","AZI2","14.6","0","5","0","0.9234972677595629","false","0","AZI2","0","0.5214285714285715"
"2.6885245901639343","0.0026175352678084914","0.3719512195121951","0.6944444444444444",,,,,,"9","6","false","TANK","13.88888888888889","0","9","0","0.9296448087431695","false","0","TANK","68","0.44802867383512546"
"2.1639344262295084","0.10305288313060224","0.4621212121212121","0.33986928104575165","HUMAN|HGNC=11584|UniProtKB=Q9UHD2","Serine_threonine-protein kinase TBK1;TBK1;PTN002506461;orthologs","SERINE_THREONINE-PROTEIN KINASE TBK1 (PTHR22969:SF14)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","18","5","false","TBK1","10.833333333333334","0","18","0","0.9515027322404371","false","0","TBK1","1818","0.27635327635327633"
"2.8360655737704916","0.0","0.3526011560693642","1.0","HUMAN|HGNC=30140|UniProtKB=A7MCY6","TANK-binding kinase 1-binding protein 1;TBKBP1;PTN002494664;orthologs","TANK-BINDING KINASE 1-BINDING PROTEIN 1 (PTHR14432:SF2)",,"Homo sapiens","5","6","false","TBKBP1","14.6","0","5","0","0.9234972677595629","false","0","TBKBP1","0","0.5214285714285715"
"2.4262295081967213","0.022455760179557756","0.41216216216216217","0.47794117647058826","HUMAN|HGNC=11892|UniProtKB=P01375","Tumor necrosis factor;TNF;PTN002479303;orthologs","TUMOR NECROSIS FACTOR (PTHR11471:SF23)","intercellular signal molecule(PC00207)","Homo sapiens","17","6","false","TNF","12.882352941176471","0","17","0","0.9405737704918034","false","0","TNF","592","0.33900928792569657"
"2.0","0.13283488104349198","0.5","0.37318840579710144","HUMAN|HGNC=5961|UniProtKB=Q9Y6K9","NF-kappa-B essential modulator;IKBKG;PTN002527037;orthologs","NF-KAPPA-B ESSENTIAL MODULATOR (PTHR31553:SF3)",,"Homo sapiens","24","5","false","IKBKG","11.625","0","24","0","0.9583333333333334","false","0","IKBKG","2502","0.26420454545454547"
