"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.4","0.0","0.7142857142857143","1.0","HUMAN|HGNC=82|UniProtKB=P09110","3-ketoacyl-CoA thiolase, peroxisomal;ACAA1;PTN002536639;orthologs","3-KETOACYL-COA THIOLASE, PEROXISOMAL (PTHR43853:SF8)","acetyltransferase(PC00038)","Homo sapiens","3","2","false","ACAA1","4.333333333333333","0","3","0","0.9199999999999999","false","0","ACAA1","0","0.8666666666666667"
"1.0","0.25","1.0","0.5","HUMAN|HGNC=119|UniProtKB=Q15067","Peroxisomal acyl-coenzyme A oxidase 1;ACOX1;PTN002474949;orthologs","PEROXISOMAL ACYL-COENZYME A OXIDASE 1 (PTHR10909:SF250)","oxidoreductase(PC00176)","Homo sapiens","5","1","false","ACOX1","3.0","0","5","0","1.0","false","0","ACOX1","10","0.6"
"1.0","0.25","1.0","0.5","HUMAN|HGNC=121|UniProtKB=O15254","Peroxisomal acyl-coenzyme A oxidase 3;ACOX3;PTN002474945;orthologs","PEROXISOMAL ACYL-COENZYME A OXIDASE 3 (PTHR10909:SF390)","oxidoreductase(PC00176)","Homo sapiens","5","1","false","ACOX3","3.0","0","5","0","1.0","false","0","ACOX3","10","0.6"
"1.4","0.0","0.7142857142857143","1.0","HUMAN|HGNC=11490|UniProtKB=Q9BX26","Synaptonemal complex protein 2;SYCP2;PTN002496324;orthologs","SYNAPTONEMAL COMPLEX PROTEIN 2 (PTHR15607:SF12)","chromatin/chromatin-binding, or -regulatory protein(PC00077)","Homo sapiens","3","2","false","SCP2","4.333333333333333","0","3","0","0.9199999999999999","false","0","SCP2","0","0.8666666666666667"
"1.6","0.0","0.625","1.0","HUMAN|HGNC=88|UniProtKB=P28330","Long-chain specific acyl-CoA dehydrogenase, mitochondrial;ACADL;PTN002535889;orthologs","LONG-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL (PTHR48083:SF20)","dehydrogenase(PC00092)","Homo sapiens","2","2","false","ACADL","5.0","0","2","0","0.8800000000000001","false","0","ACADL","0","1.0"
"1.6","0.0","0.625","1.0","HUMAN|HGNC=120|UniProtKB=Q99424","Peroxisomal acyl-coenzyme A oxidase 2;ACOX2;PTN002474948;orthologs","PEROXISOMAL ACYL-COENZYME A OXIDASE 2 (PTHR10909:SF344)","oxidoreductase(PC00176)","Homo sapiens","2","2","false","ACOX2","5.0","0","2","0","0.8800000000000001","false","0","ACOX2","0","1.0"
"1.1428571428571428","0.2857142857142857","0.875","0.6666666666666666","HUMAN|HGNC=600|UniProtKB=P02647","Apolipoprotein A-I;APOA1;PTN002498707;orthologs","APOLIPOPROTEIN A-I (PTHR18976:SF11)","apolipoprotein(PC00052)","Homo sapiens","6","2","false","APOA1","4.5","0","6","0","0.9761904761904763","false","0","APOA1","12","0.7222222222222222"
"1.2857142857142858","0.0","0.7777777777777777","1.0","HUMAN|HGNC=610|UniProtKB=P02656","Apolipoprotein C-III;APOC3;PTN002494367;orthologs","APOLIPOPROTEIN C-III (PTHR14225:SF0)","apolipoprotein(PC00052)","Homo sapiens","5","2","false","APOC3","5.4","0","5","0","0.9523809523809524","false","0","APOC3","0","0.7714285714285715"
"1.2857142857142858","0.0","0.7777777777777777","1.0","HUMAN|HGNC=2690|UniProtKB=P07108","Acyl-CoA-binding protein;DBI;PTN002511092;orthologs","ACYL-COA-BINDING PROTEIN (PTHR23310:SF54)","transfer/carrier protein(PC00219)","Homo sapiens","5","2","false","DBI","5.4","0","5","0","0.9523809523809524","false","0","DBI","0","0.7714285714285715"
"1.2857142857142858","0.0","0.7777777777777777","1.0","HUMAN|HGNC=9093|UniProtKB=P55058","Phospholipid transfer protein;PLTP;PTN002471160;orthologs","PHOSPHOLIPID TRANSFER PROTEIN (PTHR10504:SF16)","defense/immunity protein(PC00090)","Homo sapiens","5","2","false","PLTP","5.4","0","5","0","0.9523809523809524","false","0","PLTP","0","0.7714285714285715"
