"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=391|UniProtKB=P31749","RAC-alpha serine_threonine-protein kinase;AKT1;PTN002519490;orthologs","RAC-ALPHA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF171)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT1","2.0","0","2","0","1.0","false","0","AKT1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=392|UniProtKB=P31751","RAC-beta serine_threonine-protein kinase;AKT2;PTN002519489;orthologs","RAC-BETA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF176)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT2","2.0","0","2","0","1.0","false","0","AKT2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=393|UniProtKB=Q9Y243","RAC-gamma serine_threonine-protein kinase;AKT3;PTN002519488;orthologs","RAC-GAMMA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF190)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT3","2.0","0","2","0","1.0","false","0","AKT3","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=484|UniProtKB=Q15389","Angiopoietin-1;ANGPT1;PTN002499021;orthologs","ANGIOPOIETIN-1 (PTHR19143:SF156)","intercellular signal molecule(PC00207)","Homo sapiens","3","1","false","ANGPT1","3.0","0","3","0","1.0","false","0","ANGPT1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=485|UniProtKB=O15123","Angiopoietin-2;ANGPT2;PTN002499025;orthologs","ANGIOPOIETIN-2 (PTHR19143:SF199)","intercellular signal molecule(PC00207)","Homo sapiens","3","1","false","ANGPT2","3.0","0","3","0","1.0","false","0","ANGPT2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=11724|UniProtKB=Q02763","Angiopoietin-1 receptor;TEK;PTN002521436;orthologs","ANGIOPOIETIN-1 RECEPTOR (PTHR24416:SF125)","transmembrane signal receptor(PC00197)","Homo sapiens","3","1","false","TEK","3.0","0","3","0","1.0","false","0","TEK","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=487|UniProtKB=Q9Y264","Angiopoietin-4;ANGPT4;PTN002499022;orthologs","ANGIOPOIETIN-4 (PTHR19143:SF31)","intercellular signal molecule(PC00207)","Homo sapiens","3","1","false","ANGPT4","3.0","0","3","0","1.0","false","0","ANGPT4","0","1.0"
"5.311377245508982","0.0014324815186199172","0.18827508455467867","0.7619047619047619","HUMAN|HGNC=646|UniProtKB=P10398","Serine_threonine-protein kinase A-Raf;ARAF;PTN002541147;orthologs","SERINE_THREONINE-PROTEIN KINASE A-RAF (PTHR44329:SF55)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","7","11","false","ARAF","8.714285714285714","0","7","0","0.7946963216424294","false","0","ARAF","460","0.5126050420168067"
"4.419161676646707","0.08121546411084486","0.22628726287262874","0.5277777777777778","HUMAN|HGNC=6407|UniProtKB=P01116","GTPase KRas;KRAS;PTN002514537;orthologs","GTPASE KRAS (PTHR24070:SF388)","small GTPase(PC00208)","Homo sapiens","9","10","false","KRAS","8.11111111111111","0","9","0","0.8371827773025379","false","0","KRAS","10344","0.31196581196581197"
"5.37125748502994","8.260992539446628E-4","0.18617614269788185","0.7619047619047619","HUMAN|HGNC=6842|UniProtKB=P36507","Dual specificity mitogen-activated protein kinase kinase 2;MAP2K2;PTN002519703;orthologs","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 (PTHR48013:SF8)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","7","10","false","MAP2K2","8.714285714285714","0","7","0","0.7918448816652409","false","0","MAP2K2","350","0.48412698412698413"
