"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=119|UniProtKB=Q15067","Peroxisomal acyl-coenzyme A oxidase 1;ACOX1;PTN002474949;orthologs","PEROXISOMAL ACYL-COENZYME A OXIDASE 1 (PTHR10909:SF250)","oxidoreductase(PC00176)","Homo sapiens","1","1","false","ACOX1","1.0","0","1","0","1.0","false","0","ACOX1","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=121|UniProtKB=O15254","Peroxisomal acyl-coenzyme A oxidase 3;ACOX3;PTN002474945;orthologs","PEROXISOMAL ACYL-COENZYME A OXIDASE 3 (PTHR10909:SF390)","oxidoreductase(PC00176)","Homo sapiens","1","1","false","ACOX3","1.0","0","1","0","1.0","false","0","ACOX3","0","0.0"
"3.289855072463768","0.022378516624040928","0.30396475770925113","0.6666666666666666","HUMAN|HGNC=232|UniProtKB=Q08828","Adenylate cyclase type 1;ADCY1;PTN002484502;orthologs","ADENYLATE CYCLASE TYPE 1 (PTHR45627:SF26)","adenylate cyclase(PC00043)","Homo sapiens","3","7","false","ADCY1","8.0","0","3","0","0.8727858293075684","false","0","ADCY1","436","0.42105263157894735"
"3.246376811594203","0.1129582267689686","0.30803571428571425","0.4","HUMAN|HGNC=239|UniProtKB=P40145","Adenylate cyclase type 8;ADCY8;PTN002484507;orthologs","ADENYLATE CYCLASE TYPE 8 (PTHR45627:SF1)","adenylate cyclase(PC00043)","Homo sapiens","5","7","false","ADCY8","5.8","0","5","0","0.8752012882447665","false","0","ADCY8","1316","0.29"
"2.420289855072464","0.30279909065075306","0.41317365269461076","0.2857142857142857","HUMAN|HGNC=1442|UniProtKB=P0DP23","Calmodulin-1;CALM1;PTN002507335;orthologs","CALMODULIN-1 (PTHR23050:SF531)","calmodulin-related(PC00061)","Homo sapiens","15","6","false","CALM1","7.8","0","15","0","0.9210950080515298","false","0","CALM1","6778","0.16956521739130434"
"4.159420289855072","0.01896845694799661","0.24041811846689898","0.5","HUMAN|HGNC=234|UniProtKB=O60266","Adenylate cyclase type 3;ADCY3;PTN002484496;orthologs","ADENYLATE CYCLASE TYPE 3 (PTHR45627:SF30)","adenylate cyclase(PC00043)","Homo sapiens","4","8","false","ADCY3","3.75","0","4","0","0.8244766505636071","false","0","ADCY3","444","0.5357142857142857"
"3.0","0.0","0.3333333333333333","0.0","HUMAN|HGNC=233|UniProtKB=Q08462","Adenylate cyclase type 2;ADCY2;PTN002484530;orthologs","ADENYLATE CYCLASE TYPE 2 (PTHR45627:SF6)","adenylate cyclase(PC00043)","Homo sapiens","1","5","false","ADCY2","19.0","0","1","0","0.8947368421052632","false","0","ADCY2","0","0.0"
"2.022727272727273","0.7100070472163496","0.49438202247191004","0.05263157894736842","HUMAN|HGNC=4392|UniProtKB=Q5JWF2","Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas;GNAS;PTN002469287;orthologs","GUANINE NUCLEOTIDE-BINDING PROTEIN G(S) SUBUNIT ALPHA ISOFORMS XLAS (PTHR10218:SF348)","heterotrimeric G-protein(PC00117)","Homo sapiens","19","4","false","GNAS","2.5789473684210527","0","19","0","0.9461722488038277","false","0","GNAS","3236","0.10526315789473684"
"5.101449275362318","0.0","0.1960227272727273","1.0","HUMAN|HGNC=240|UniProtKB=O60503","Adenylate cyclase type 9;ADCY9;PTN002484518;orthologs","ADENYLATE CYCLASE TYPE 9 (PTHR45627:SF8)","adenylate cyclase(PC00043)","Homo sapiens","2","9","false","ADCY9","4.5","0","2","0","0.7721417069243156","false","0","ADCY9","0","0.75"
"4.144927536231884","0.03878942881500433","0.24125874125874128","0.3","HUMAN|HGNC=237|UniProtKB=O43306","Adenylate cyclase type 6;ADCY6;PTN002484510;orthologs","ADENYLATE CYCLASE TYPE 6 (PTHR45627:SF11)","adenylate cyclase(PC00043)","Homo sapiens","5","8","false","ADCY6","2.8","0","5","0","0.8252818035426732","false","0","ADCY6","454","0.43333333333333335"
"4.188405797101449","0.0","0.23875432525951557","1.0","HUMAN|HGNC=235|UniProtKB=Q8NFM4","Adenylate cyclase type 4;ADCY4;PTN002484529;orthologs","ADENYLATE CYCLASE TYPE 4 (PTHR45627:SF10)","adenylate cyclase(PC00043)","Homo sapiens","2","8","false","ADCY4","5.0","0","2","0","0.822866344605475","false","0","ADCY4","0","0.7142857142857143"
"5.130434782608695","0.0","0.19491525423728814","0.0","HUMAN|HGNC=236|UniProtKB=O95622","Adenylate cyclase type 5;ADCY5;PTN002484515;orthologs","ADENYLATE CYCLASE TYPE 5 (PTHR45627:SF7)","adenylate cyclase(PC00043)","Homo sapiens","1","9","false","ADCY5","5.0","0","1","0","0.7705314009661836","false","0","ADCY5","0","0.0"
"2.9318181818181817","0.0010570824524312897","0.34108527131782945","0.6666666666666666","HUMAN|HGNC=241|UniProtKB=P18509","Pituitary adenylate cyclase-activating polypeptide;ADCYAP1;PTN002477193;orthologs","PITUITARY ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE (PTHR11213:SF1)","neuropeptide(PC00162)","Homo sapiens","3","5","false","ADCYAP1","8.0","0","3","0","0.8983253588516747","false","0","ADCYAP1","4","0.4"
"2.9318181818181817","0.045454545454545456","0.34108527131782945","0.3333333333333333","HUMAN|HGNC=12695|UniProtKB=P41587","Vasoactive intestinal polypeptide receptor 2;VIPR2;PTN002485778;orthologs","VASOACTIVE INTESTINAL POLYPEPTIDE RECEPTOR 2 (PTHR45620:SF22)","transmembrane signal receptor(PC00197)","Homo sapiens","3","5","false","VIPR2","7.666666666666667","0","3","0","0.8983253588516747","false","0","VIPR2","172","0.38596491228070173"
"2.977272727272727","0.0","0.33587786259541985","1.0","HUMAN|HGNC=242|UniProtKB=P41586","Pituitary adenylate cyclase-activating polypeptide type I receptor;ADCYAP1R1;PTN002485780;orthologs","PITUITARY ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE TYPE I RECEPTOR (PTHR45620:SF12)","transmembrane signal receptor(PC00197)","Homo sapiens","2","5","false","ADCYAP1R1","11.0","0","2","0","0.895933014354067","false","0","ADCYAP1R1","0","0.5789473684210527"
"4.090909090909091","0.0","0.24444444444444444","0.0","HUMAN|HGNC=262|UniProtKB=P30542","Adenosine receptor A1;ADORA1;PTN002517551;orthologs","ADENOSINE RECEPTOR A1 (PTHR24246:SF1)","G-protein coupled receptor(PC00021)","Homo sapiens","1","6","false","ADORA1","3.0","0","1","0","0.8373205741626795","false","0","ADORA1","0","0.0"
