"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.336283185840708","0.03537812174654502","0.23061224489795917","0.2","HUMAN|HGNC=391|UniProtKB=P31749","RAC-alpha serine_threonine-protein kinase;AKT1;PTN002519490;orthologs","RAC-ALPHA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF171)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","6","7","false","AKT1","3.5","0","6","0","0.8764339560799739","false","0","AKT1","5620","0.2777777777777778"
"4.132743362831858","0.003008627316032998","0.24197002141327623","0.6666666666666666","HUMAN|HGNC=22048|UniProtKB=P60323","Nanos homolog 3;NANOS3;PTN002490035;orthologs","NANOS HOMOLOG 3 (PTHR12887:SF12)","RNA metabolism protein(PC00031)","Homo sapiens","4","7","false","NOS3","6.5","0","4","0","0.8839724680432645","false","0","NOS3","584","0.43333333333333335"
"3.433628318584071","0.12042987095549018","0.2912371134020619","0.32142857142857145","HUMAN|HGNC=5253|UniProtKB=P07900","Heat shock protein HSP 90-alpha;HSP90AA1;PTN002479785;orthologs","HEAT SHOCK PROTEIN HSP 90-ALPHA (PTHR11528:SF87)","Hsp90 family chaperone(PC00028)","Homo sapiens","8","6","false","HSP90AA1","7.5","0","8","0","0.9098656178302197","false","0","HSP90AA1","19426","0.20833333333333334"
"5.146017699115045","0.0038324103837245184","0.19432502149613068","0.0","HUMAN|HGNC=8816|UniProtKB=O15530","3-phosphoinositide-dependent protein kinase 1;PDPK1;PTN002519480;orthologs","3-PHOSPHOINOSITIDE-DEPENDENT PROTEIN KINASE 1-RELATED (PTHR24356:SF163)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","8","false","PDPK1","5.0","0","2","0","0.8464437889216649","false","0","PDPK1","736","0.5"
"5.327433628318584","0.0","0.1877076411960133","1.0","HUMAN|HGNC=17947|UniProtKB=Q5T1C6","Acyl-coenzyme A thioesterase THEM4;THEM4;PTN002488089;orthologs","ACYL-COENZYME A THIOESTERASE THEM4 (PTHR12418:SF19)","esterase(PC00097)","Homo sapiens","2","8","false","THEM4","4.5","0","2","0","0.839724680432645","false","0","THEM4","0","0.75"
"5.323008849557522","1.9665683382497542E-5","0.18786367414796343","0.6666666666666666","HUMAN|HGNC=392|UniProtKB=P31751","RAC-beta serine_threonine-protein kinase;AKT2;PTN002519489;orthologs","RAC-BETA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF176)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","8","false","AKT2","3.3333333333333335","0","3","0","0.8398885611274992","false","0","AKT2","2","0.5555555555555556"
"5.327433628318584","0.0","0.1877076411960133","1.0","HUMAN|HGNC=393|UniProtKB=Q9Y243","RAC-gamma serine_threonine-protein kinase;AKT3;PTN002519488;orthologs","RAC-GAMMA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF190)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","8","false","AKT3","4.5","0","2","0","0.839724680432645","false","0","AKT3","0","0.75"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=484|UniProtKB=Q15389","Angiopoietin-1;ANGPT1;PTN002499021;orthologs","ANGIOPOIETIN-1 (PTHR19143:SF156)","intercellular signal molecule(PC00207)","Homo sapiens","3","1","false","ANGPT1","3.0","0","3","0","1.0","false","0","ANGPT1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=485|UniProtKB=O15123","Angiopoietin-2;ANGPT2;PTN002499025;orthologs","ANGIOPOIETIN-2 (PTHR19143:SF199)","intercellular signal molecule(PC00207)","Homo sapiens","3","1","false","ANGPT2","3.0","0","3","0","1.0","false","0","ANGPT2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=11724|UniProtKB=Q02763","Angiopoietin-1 receptor;TEK;PTN002521436;orthologs","ANGIOPOIETIN-1 RECEPTOR (PTHR24416:SF125)","transmembrane signal receptor(PC00197)","Homo sapiens","3","1","false","TEK","3.0","0","3","0","1.0","false","0","TEK","0","1.0"
