"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.75","0.0","0.5714285714285714","0.0","HUMAN|HGNC=16921|UniProtKB=Q99490","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2;AGAP2;PTN002509059;orthologs","ARF-GAP WITH GTPASE, ANK REPEAT AND PH DOMAIN-CONTAINING PROTEIN 2 (PTHR45819:SF3)","GTPase-activating protein(PC00257)","Homo sapiens","1","2","false","AGAP2","4.0","0","1","0","0.8125","false","0","AGAP2","0","0.0"
"1.0","0.5","1.0","0.5","HUMAN|HGNC=4593|UniProtKB=Q13255","Metabotropic glutamate receptor 1;GRM1;PTN002514249;orthologs","METABOTROPIC GLUTAMATE RECEPTOR 1 (PTHR24060:SF29)","G-protein coupled receptor(PC00021)","Homo sapiens","4","1","false","GRM1","2.5","0","4","0","1.0","false","0","GRM1","6","0.75"
"1.0","0.6666666666666666","1.0","0.3333333333333333","HUMAN|HGNC=391|UniProtKB=P31749","RAC-alpha serine_threonine-protein kinase;AKT1;PTN002519490;orthologs","RAC-ALPHA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF171)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","3","1","false","AKT1","1.6666666666666667","0","3","0","1.0","false","0","AKT1","4","0.6666666666666666"
"1.6666666666666667","0.0","0.6","0.0","HUMAN|HGNC=8816|UniProtKB=O15530","3-phosphoinositide-dependent protein kinase 1;PDPK1;PTN002519480;orthologs","3-PHOSPHOINOSITIDE-DEPENDENT PROTEIN KINASE 1-RELATED (PTHR24356:SF163)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","1","2","false","PDPK1","3.0","0","1","0","0.7777777777777777","false","0","PDPK1","0","0.0"
"1.3333333333333333","0.0","0.75","1.0","HUMAN|HGNC=392|UniProtKB=P31751","RAC-beta serine_threonine-protein kinase;AKT2;PTN002519489;orthologs","RAC-BETA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF176)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","2","false","AKT2","2.5","0","2","0","0.888888888888889","false","0","AKT2","0","0.8333333333333334"
"1.3333333333333333","0.0","0.75","1.0","HUMAN|HGNC=393|UniProtKB=Q9Y243","RAC-gamma serine_threonine-protein kinase;AKT3;PTN002519488;orthologs","RAC-GAMMA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF190)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","2","false","AKT3","2.5","0","2","0","0.888888888888889","false","0","AKT3","0","0.8333333333333334"
"2.625","0.018110357889884434","0.38095238095238093","0.7619047619047619","HUMAN|HGNC=646|UniProtKB=P10398","Serine_threonine-protein kinase A-Raf;ARAF;PTN002541147;orthologs","SERINE_THREONINE-PROTEIN KINASE A-RAF (PTHR44329:SF55)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","7","5","false","ARAF","7.714285714285714","0","7","0","0.8522727272727273","false","0","ARAF","140","0.5510204081632653"
"2.34375","0.13491102492143076","0.4266666666666667","0.6071428571428571","HUMAN|HGNC=6407|UniProtKB=P01116","GTPase KRas;KRAS;PTN002514537;orthologs","GTPASE KRAS (PTHR24070:SF388)","small GTPase(PC00208)","Homo sapiens","8","4","false","KRAS","7.5","0","8","0","0.8778409090909091","false","0","KRAS","566","0.4166666666666667"
"3.1875","0.001310483870967742","0.3137254901960784","0.8666666666666667","HUMAN|HGNC=6842|UniProtKB=P36507","Dual specificity mitogen-activated protein kinase kinase 2;MAP2K2;PTN002519703;orthologs","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 (PTHR48013:SF8)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","6","6","false","MAP2K2","7.666666666666667","0","6","0","0.8011363636363636","false","0","MAP2K2","6","0.6388888888888888"
"2.90625","0.0054926987467960415","0.34408602150537637","0.8095238095238095","HUMAN|HGNC=6840|UniProtKB=Q02750","Dual specificity mitogen-activated protein kinase kinase 1;MAP2K1;PTN002519704;orthologs","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 (PTHR48013:SF5)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","7","5","false","MAP2K1","7.571428571428571","0","7","0","0.8267045454545454","false","0","MAP2K1","50","0.5824175824175825"
